,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,21976,76504,0027600871,"APR 10, 1977",BUF vs. CHI,L,0,14,17.0,,,,,4,5,0.8,,,4.0,,2.0,0.0,,3.0,32,,0
1,21976,76504,0027600857,"APR 08, 1977",BUF vs. NYK,L,36,8,18.0,,,,,5,6,0.833,,,3.0,2.0,,,,2.0,21,,0
2,21976,76504,0027600844,"APR 06, 1977",BUF vs. NOJ,W,40,11,12.0,,,,,6,9,0.667,,,2.0,3.0,,,,1.0,28,,0
3,21976,76504,0027600840,"APR 05, 1977",BUF @ CHI,L,0,6,12.0,,,,,6,6,1.0,,,13.0,,,0.0,,2.0,18,,0
4,21976,76504,0027600827,"APR 03, 1977",BUF @ NYK,L,28,6,14.0,,,,,1,1,1.0,,,6.0,1.0,,,,1.0,13,,0
5,21976,76504,0027600824,"APR 02, 1977",BUF vs. MIL,W,0,11,,,,,,10,11,0.909,,,10.0,,,,,,32,,0
6,21976,76504,0027600811,"MAR 31, 1977",BUF @ DEN,L,34,10,16.0,,,,,0,0,0.0,4.0,4.0,8.0,0.0,2.0,0.0,,6.0,20,,0
7,21976,76504,0027600799,"MAR 29, 1977",BUF @ POR,L,41,10,14.0,,,,,14,18,0.778,3.0,9.0,12.0,1.0,3.0,2.0,,3.0,34,,0
8,21976,76504,0027600793,"MAR 27, 1977",BUF @ LAL,L,38,7,13.0,,,,,1,2,0.5,,,8.0,0.0,,,,3.0,15,,0
9,21976,76504,0027600770,"MAR 24, 1977",BUF @ PHX,W,36,5,13.0,,,,,7,9,0.778,4.0,9.0,13.0,3.0,1.0,0.0,,1.0,17,,0
10,21976,76504,0027600760,"MAR 22, 1977",BUF vs. ATL,L,0,4,,,,,,9,12,0.75,,,,,,,,,17,,0
11,21976,76504,0027603030,"MAR 20, 1977",BUF @ CLE,L,48,14,20.0,,,,,9,11,0.818,1.0,2.0,3.0,2.0,1.0,0.0,,4.0,37,,0
