,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,21977,77264,0027700889,"APR 08, 1978",NJN @ PHX,L,35,6,14.0,,,,,3,5,0.6,1.0,4.0,5.0,2.0,1.0,0.0,8.0,4.0,15,,0
1,21977,77264,0027700887,"APR 07, 1978",NJN @ LAL,L,34,8,21.0,,,,,5,9,0.556,,,11.0,1.0,,,,5.0,21,,0
2,21977,77264,0027700868,"APR 05, 1978",NJN @ DEN,L,42,16,29.0,,,,,6,10,0.6,1.0,5.0,6.0,2.0,2.0,1.0,8.0,5.0,38,,0
3,21977,77264,0027700860,"APR 04, 1978",NJN @ IND,W,42,12,22.0,,,,,2,2,1.0,,,9.0,2.0,,,,4.0,26,,0
4,21977,77264,0027700849,"APR 02, 1978",NJN @ ATL,L,36,13,23.0,,,,,6,8,0.75,,,10.0,1.0,,,,6.0,32,,0
5,21977,77264,0027700841,"MAR 31, 1978",NJN vs. MIL,W,44,14,30.0,,,,,11,17,0.647,,,14.0,5.0,,,,3.0,39,,0
6,21977,77264,0027700814,"MAR 26, 1978",NJN @ WAS,W,43,8,21.0,,,,,2,7,0.286,,,5.0,0.0,,,,5.0,18,,0
7,21977,77264,0027700802,"MAR 24, 1978",NJN vs. WAS,L,48,13,27.0,,,,,0,0,0.0,,,17.0,8.0,4.0,,,5.0,26,,0
8,21977,77264,0027700790,"MAR 22, 1978",NJN vs. CHI,W,48,14,26.0,,,,,5,7,0.714,,,18.0,3.0,,1.0,,4.0,33,,0
9,21977,77264,0027700778,"MAR 21, 1978",NJN @ NOJ,L,42,10,19.0,,,,,3,4,0.75,,,9.0,4.0,,,,5.0,23,,0
10,21977,77264,0027700767,"MAR 18, 1978",NJN @ HOU,W,44,12,20.0,,,,,3,4,0.75,,,6.0,1.0,2.0,0.0,,5.0,27,,0
