,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,21965,76487,0026500358,"MAR 20, 1966",PHL @ BLT,W,15,1,10.0,,,,,1,2,0.5,,,5.0,2.0,,,,5.0,3,,0
1,21965,76487,0026500352,"MAR 19, 1966",PHL vs. CIN,W,0,9,17.0,,,,,3,6,0.5,,,11.0,3.0,,,,4.0,21,,0
2,21965,76487,0026500348,"MAR 17, 1966",PHL vs. NYK,W,20,1,10.0,,,,,2,2,1.0,,,4.0,4.0,,,,2.0,4,,0
3,21965,76487,0026500340,"MAR 13, 1966",PHL @ NYK,W,19,5,12.0,,,,,1,4,0.25,,,4.0,0.0,,,,5.0,11,,0
4,21965,76487,0026500337,"MAR 12, 1966",PHL vs. NYK,W,18,8,12.0,,,,,7,9,0.778,,,5.0,1.0,,,,3.0,23,,0
5,21965,76487,0026500332,"MAR 09, 1966",PHL vs. STL,W,25,4,10.0,,,,,7,9,0.778,,,6.0,4.0,,,,2.0,15,,0
6,21965,76487,0026500330,"MAR 08, 1966",PHL vs. STL,W,27,9,17.0,,,,,1,2,0.5,,,5.0,0.0,,,,4.0,19,,0
7,21965,76487,0026500324,"MAR 06, 1966",PHL @ BOS,W,0,3,14.0,,,,,4,6,0.667,,,8.0,1.0,,,,5.0,10,,0
8,21965,76487,0026500322,"MAR 05, 1966",PHL vs. BOS,W,0,2,13.0,,,,,10,12,0.833,,,11.0,1.0,,,,4.0,14,,0
9,21965,76487,0026500319,"MAR 04, 1966",PHL @ CIN,W,0,1,6.0,,,,,3,3,1.0,,,9.0,0.0,,,,6.0,5,,0
10,21965,76487,0026500315,"MAR 03, 1966",PHL vs. SFW,W,22,5,12.0,,,,,2,4,0.5,,,7.0,2.0,,,,3.0,12,,0
11,21965,76487,0026500310,"MAR 01, 1966",PHL @ CIN,L,0,7,15.0,,,,,4,6,0.667,,,5.0,2.0,,,,3.0,18,,0
12,21965,76487,0026500303,"FEB 26, 1966",PHL vs. BLT,W,0,8,17.0,,,,,7,12,0.583,,,16.0,2.0,,,,5.0,23,,0
13,21965,76487,0026500299,"FEB 25, 1966",PHL vs. NYK,W,34,9,15.0,,,,,4,4,1.0,,,15.0,4.0,,,,3.0,22,,0
14,21965,76487,0026500296,"FEB 23, 1966",PHL @ BLT,L,20,3,10.0,,,,,1,1,1.0,,,4.0,1.0,,,,2.0,7,,0
15,21965,76487,0026500292,"FEB 22, 1966",PHL vs. DET,W,0,6,14.0,,,,,2,3,0.667,,,10.0,2.0,,,,5.0,14,,0
16,21965,76487,0026500291,"FEB 21, 1966",PHL @ CIN,L,0,3,13.0,,,,,2,6,0.333,,,5.0,2.0,,,,1.0,8,,0
17,21965,76487,0026500285,"FEB 19, 1966",PHL @ SFW,W,20,1,6.0,,,,,2,3,0.667,,,7.0,2.0,,,,3.0,4,,0
18,21965,76487,0026500281,"FEB 17, 1966",PHL @ LAL,W,0,4,7.0,,,,,2,2,1.0,,,1.0,2.0,,,,5.0,10,,0
19,21965,76487,0026500278,"FEB 15, 1966",PHL vs. STL,W,0,7,13.0,,,,,8,11,0.727,,,7.0,4.0,,,,2.0,22,,0
20,21965,76487,0026500275,"FEB 14, 1966",PHL vs. DET,W,0,6,10.0,,,,,6,7,0.857,,,10.0,6.0,,,,2.0,18,,0
21,21965,76487,0026500271,"FEB 12, 1966",PHL @ BOS,L,0,2,11.0,,,,,1,3,0.333,,,5.0,3.0,,,,5.0,5,,0
22,21965,76487,0026500267,"FEB 11, 1966",PHL vs. CIN,W,0,5,11.0,,,,,3,5,0.6,,,5.0,3.0,,,,6.0,13,,0
23,21965,76487,0026500263,"FEB 09, 1966",PHL @ DET,W,0,3,9.0,,,,,0,0,0.0,,,4.0,2.0,,,,4.0,6,,0
24,21965,76487,0026500258,"FEB 08, 1966",PHL @ NYK,L,30,5,11.0,,,,,4,7,0.571,,,7.0,4.0,,,,3.0,14,,0
25,21965,76487,0026500254,"FEB 07, 1966",PHL vs. LAL,W,0,3,5.0,,,,,4,6,0.667,,,11.0,4.0,,,,5.0,10,,0
26,21965,76487,0026500253,"FEB 06, 1966",PHL @ BOS,L,0,2,11.0,,,,,1,2,0.5,,,5.0,1.0,,,,5.0,5,,0
27,21965,76487,0026500249,"FEB 05, 1966",PHL @ NYK,L,0,0,2.0,,,,,0,0,0.0,,,0.0,1.0,,,,0.0,0,,0
28,21965,76487,0026500244,"FEB 02, 1966",PHL @ STL,L,0,5,16.0,,,,,6,13,0.462,,,7.0,,,,,4.0,16,,0
29,21965,76487,0026500237,"JAN 30, 1966",PHL vs. DET,W,0,7,16.0,,,,,2,3,0.667,,,5.0,4.0,,,,5.0,16,,0
30,21965,76487,0026500230,"JAN 28, 1966",PHL vs. CIN,W,0,6,12.0,,,,,3,6,0.5,,,6.0,5.0,,,,1.0,15,,0
31,21965,76487,0026500221,"JAN 25, 1966",PHL vs. LAL,W,0,2,9.0,,,,,3,3,1.0,,,1.0,1.0,,,,3.0,7,,0
32,21965,76487,0026500219,"JAN 24, 1966",PHL vs. STL,W,34,12,19.0,,,,,5,6,0.833,,,9.0,0.0,,,,2.0,29,,0
33,21965,76487,0026500217,"JAN 23, 1966",PHL @ STL,W,29,2,8.0,,,,,2,2,1.0,,,6.0,2.0,,,,2.0,6,,0
34,21965,76487,0026500213,"JAN 21, 1966",PHL vs. NYK,W,19,2,8.0,,,,,3,4,0.75,,,4.0,1.0,,,,6.0,7,,0
35,21965,76487,0026500207,"JAN 19, 1966",PHL vs. DET,W,0,4,13.0,,,,,4,6,0.667,,,12.0,3.0,,,,3.0,12,,0
