,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,21970,600005,0027000692,"MAR 21, 1971",DET vs. CHI,W,0,7,13.0,,,,,0,0,0.0,,,5.0,2.0,,,,6.0,14,,0
1,21970,600005,0027000689,"MAR 20, 1971",DET @ CLE,L,24,6,12.0,,,,,3,4,0.75,,,6.0,5.0,,,,6.0,15,,0
2,21970,600005,0027000679,"MAR 19, 1971",DET vs. BUF,W,0,17,,,,,,6,8,0.75,,,,,,,,,40,,0
3,21970,600005,0027000793,"MAR 17, 1971",DET @ SDR,L,21,2,7.0,,,,,1,2,0.5,,,4.0,3.0,,,,2.0,5,,0
4,21970,600005,0027000661,"MAR 14, 1971",DET @ LAL,L,18,4,9.0,,,,,0,2,0.0,,,7.0,0.0,,,,1.0,8,,0
5,21970,600005,0027000656,"MAR 13, 1971",DET @ SFW,L,24,4,9.0,,,,,2,2,1.0,,,10.0,3.0,,,,3.0,10,,0
6,21970,600005,0027000652,"MAR 12, 1971",DET @ POR,W,24,7,11.0,,,,,9,12,0.75,,,9.0,1.0,,,,3.0,23,,0
7,21970,600005,0027000645,"MAR 11, 1971",DET @ SEA,L,25,3,11.0,,,,,1,1,1.0,,,6.0,1.0,,,,3.0,7,,0
8,21970,600005,0027000635,"MAR 09, 1971",DET vs. PHX,L,21,3,11.0,,,,,2,3,0.667,,,9.0,3.0,,,,4.0,8,,0
9,21970,600005,0027000628,"MAR 07, 1971",DET vs. CLE,L,31,4,14.0,,,,,7,8,0.875,,,11.0,1.0,,,,5.0,15,,0
10,21970,600005,0027000623,"MAR 06, 1971",DET @ PHL,L,36,9,15.0,,,,,13,18,0.722,,,15.0,2.0,,,,4.0,31,,0
11,21970,600005,0027000615,"MAR 05, 1971",DET vs. MIL,L,20,5,13.0,,,,,0,0,0.0,,,6.0,0.0,,,,2.0,10,,0
12,21970,600005,0027000603,"MAR 02, 1971",DET vs. POR,W,40,17,28.0,,,,,4,5,0.8,,,11.0,4.0,,,,5.0,38,,0
13,21970,600005,0027000599,"FEB 28, 1971",DET @ ATL,W,37,10,26.0,,,,,8,10,0.8,,,18.0,3.0,,,,4.0,28,,0
14,21970,600005,0027000591,"FEB 27, 1971",DET vs. PHX,L,30,8,19.0,,,,,7,8,0.875,,,8.0,3.0,,,,6.0,23,,0
15,21970,600005,0027000587,"FEB 26, 1971",DET @ BUF,W,38,11,15.0,,,,,9,10,0.9,,,14.0,2.0,,,,3.0,31,,0
16,21970,600005,0027000581,"FEB 24, 1971",DET vs. SFW,L,27,5,18.0,,,,,3,4,0.75,,,5.0,2.0,,,,3.0,13,,0
17,21970,600005,0027000568,"FEB 21, 1971",DET vs. CHI,L,27,8,16.0,,,,,4,4,1.0,,,9.0,0.0,,,,,20,,0
18,21970,600005,0027000563,"FEB 20, 1971",DET @ NYK,L,24,6,13.0,,,,,2,4,0.5,,,12.0,0.0,,,,5.0,14,,0
19,21970,600005,0027000555,"FEB 19, 1971",DET @ CHI,L,33,10,17.0,,,,,1,3,0.333,,,6.0,2.0,,,,4.0,21,,0
20,21970,600005,0027000542,"FEB 16, 1971",DET vs. BLT,W,34,7,16.0,,,,,2,5,0.4,,,7.0,0.0,,,,3.0,16,,0
21,21970,600005,0027000535,"FEB 14, 1971",DET vs. BOS,L,25,4,8.0,,,,,6,7,0.857,,,7.0,5.0,,,,5.0,14,,0
22,21970,600005,0027000524,"FEB 12, 1971",DET vs. PHL,W,26,9,13.0,,,,,5,7,0.714,,,8.0,2.0,,,,2.0,23,,0
23,21970,600005,0027000512,"FEB 09, 1971",DET vs. MIL,L,6,2,4.0,,,,,1,1,1.0,,,1.0,0.0,,,,4.0,5,,0
24,21970,600005,0027000503,"FEB 07, 1971",DET @ BLT,L,0,2,,,,,,2,3,0.667,,,,,,,,,6,,0
25,21970,600005,0027000491,"FEB 05, 1971",DET vs. NYK,W,24,5,9.0,,,,,2,2,1.0,,,12.0,2.0,,,,4.0,12,,0
26,21970,600005,0027000476,"FEB 02, 1971",DET vs. BLT,W,0,5,,,,,,1,2,0.5,,,,,,,,,11,,0
27,21970,600005,0027000471,"JAN 31, 1971",DET @ MIL,L,12,2,11.0,,,,,0,0,0.0,,,4.0,2.0,,,,3.0,4,,0
28,21970,600005,0027000766,"JAN 29, 1971",DET vs. SDR,W,20,4,9.0,,,,,3,5,0.6,,,7.0,0.0,,,,3.0,11,,0
29,21970,600005,0027000451,"JAN 27, 1971",DET vs. SFW,L,27,5,17.0,,,,,4,5,0.8,,,9.0,3.0,,,,5.0,14,,0
30,21970,600005,0027000436,"JAN 24, 1971",DET vs. NYK,L,26,3,10.0,,,,,6,8,0.75,,,9.0,2.0,,,,5.0,12,,0
