,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,21976,77193,0027600866,"APR 10, 1977",DEN @ NOJ,L,32,6,10.0,,,,,3,6,0.5,0.0,10.0,10.0,3.0,6.0,3.0,,4.0,15,,0
1,21976,77193,0027600860,"APR 09, 1977",DEN @ HOU,W,28,4,11.0,,,,,1,2,0.5,5.0,3.0,8.0,4.0,3.0,1.0,,3.0,9,,0
2,21976,77193,0027603036,"APR 07, 1977",DEN @ CLE,L,33,4,4.0,,,,,5,6,0.833,1.0,9.0,10.0,3.0,2.0,2.0,,4.0,13,,0
3,21976,77193,0027600846,"APR 06, 1977",DEN vs. ATL,W,26,6,7.0,,,,,4,5,0.8,0.0,5.0,5.0,1.0,4.0,1.0,,2.0,16,,0
4,21976,77193,0027600828,"APR 03, 1977",DEN @ PHX,W,26,9,12.0,,,,,3,3,1.0,2.0,7.0,9.0,1.0,4.0,1.0,,2.0,21,,0
5,21976,77193,0027600819,"APR 01, 1977",DEN @ CHI,L,25,5,8.0,,,,,1,1,1.0,,,3.0,2.0,,1.0,,6.0,11,,0
6,21976,77193,0027600811,"MAR 31, 1977",DEN vs. BUF,W,28,8,12.0,,,,,5,8,0.625,1.0,3.0,4.0,2.0,0.0,5.0,,2.0,21,,0
7,21976,77193,0027600798,"MAR 29, 1977",DEN vs. IND,W,20,7,9.0,,,,,4,4,1.0,1.0,7.0,8.0,2.0,0.0,1.0,,3.0,18,,0
8,21976,77193,0027600789,"MAR 27, 1977",DEN vs. GOS,W,30,4,6.0,,,,,2,4,0.5,1.0,8.0,9.0,1.0,2.0,3.0,,5.0,10,,0
9,21976,77193,0027600773,"MAR 25, 1977",DEN @ MIL,L,31,6,13.0,,,,,4,7,0.571,2.0,8.0,10.0,1.0,1.0,3.0,,2.0,16,,0
10,21976,77193,0027600761,"MAR 23, 1977",DEN vs. SAN,L,31,5,15.0,,,,,3,4,0.75,3.0,3.0,6.0,3.0,2.0,1.0,,3.0,13,,0
11,21976,77193,0027600752,"MAR 20, 1977",DEN vs. DET,W,27,4,9.0,,,,,0,0,0.0,3.0,4.0,7.0,4.0,1.0,3.0,,4.0,8,,0
12,21976,77193,0027600731,"MAR 17, 1977",DEN vs. NYK,L,35,6,15.0,,,,,1,1,1.0,5.0,3.0,8.0,3.0,2.0,5.0,,3.0,13,,0
13,21976,77193,0027600726,"MAR 16, 1977",DEN @ IND,L,30,6,11.0,,,,,7,9,0.778,2.0,10.0,12.0,3.0,1.0,0.0,,2.0,19,,0
14,21976,77193,0027600724,"MAR 15, 1977",DEN vs. LAL,W,26,7,9.0,,,,,1,2,0.5,3.0,9.0,12.0,3.0,1.0,3.0,,2.0,15,,0
15,21976,77193,0027600716,"MAR 13, 1977",DEN @ BUF,L,31,5,9.0,,,,,3,4,0.75,0.0,7.0,7.0,1.0,3.0,1.0,,3.0,13,,0
16,21976,77193,0027600703,"MAR 11, 1977",DEN @ ATL,L,36,6,13.0,,,,,5,6,0.833,1.0,4.0,5.0,2.0,1.0,1.0,,3.0,17,,0
17,21976,77193,0027600694,"MAR 09, 1977",DEN @ PHL,L,37,6,9.0,,,,,6,6,1.0,4.0,5.0,9.0,4.0,3.0,1.0,,5.0,18,,0
18,21976,77193,0027600688,"MAR 08, 1977",DEN @ NYK,W,31,4,10.0,,,,,6,7,1.0,0.0,8.0,8.0,3.0,1.0,1.0,,5.0,14,,0
19,21976,77193,0027600677,"MAR 06, 1977",DEN @ BOS,L,18,1,4.0,,,,,2,2,1.0,0.0,4.0,4.0,1.0,1.0,0.0,,6.0,4,,0
20,21976,77193,0027600657,"MAR 02, 1977",DEN @ WAS,L,30,4,11.0,,,,,6,8,0.75,1.0,7.0,8.0,2.0,2.0,0.0,,5.0,14,,0
21,21976,77193,0027600653,"MAR 01, 1977",DEN @ DET,W,30,6,10.0,,,,,1,2,0.5,2.0,6.0,8.0,1.0,2.0,0.0,,4.0,13,,0
22,21976,77193,0027600645,"FEB 27, 1977",DEN vs. BOS,W,25,5,9.0,,,,,0,0,0.0,1.0,3.0,4.0,5.0,5.0,2.0,,1.0,10,,0
23,21976,77193,0027600630,"FEB 25, 1977",DEN @ KCK,W,31,7,11.0,,,,,7,8,0.875,2.0,8.0,10.0,3.0,4.0,2.0,,3.0,21,,0
24,21976,77193,0027600626,"FEB 23, 1977",DEN @ NYN,L,33,7,14.0,,,,,2,4,0.5,6.0,9.0,15.0,2.0,5.0,0.0,,5.0,16,,0
25,21976,77193,0027600618,"FEB 22, 1977",DEN vs. HOU,W,26,10,12.0,,,,,0,0,0.0,4.0,3.0,7.0,2.0,2.0,3.0,,1.0,20,,0
26,21976,77193,0027600613,"FEB 20, 1977",DEN vs. ATL,W,25,7,10.0,,,,,1,2,0.5,4.0,7.0,11.0,3.0,2.0,4.0,,3.0,15,,0
27,21976,77193,0027600602,"FEB 19, 1977",DEN vs. POR,W,22,6,9.0,,,,,8,10,0.8,2.0,2.0,4.0,4.0,3.0,0.0,,4.0,20,,0
28,21976,77193,0027600586,"FEB 16, 1977",DEN vs. NYN,W,22,9,10.0,,,,,5,5,1.0,0.0,5.0,5.0,2.0,3.0,2.0,,2.0,23,,0
