,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,21984,787,0028400935,"APR 13, 1985",PHL @ WAS,L,32,8,14,0.571,0,1,0.0,3,4,0.75,3,8,11.0,3,5,1,5,3,19,,0
1,21984,787,0028400923,"APR 12, 1985",PHL vs. IND,W,19,7,13,0.538,0,0,,3,3,1.0,1,2,3.0,1,1,3,3,5,17,,0
2,21984,787,0028400915,"APR 10, 1985",PHL @ NJN,L,26,5,6,0.833,0,0,,4,4,1.0,3,4,7.0,1,3,0,3,3,14,,0
3,21984,787,0028400911,"APR 09, 1985",PHL vs. BOS,W,31,5,12,0.417,0,0,,1,4,0.25,4,5,9.0,2,1,1,2,3,11,,0
4,21984,787,0028400894,"APR 06, 1985",PHL @ IND,L,35,5,11,0.455,0,0,,1,2,0.5,2,9,11.0,2,1,0,1,5,11,,0
5,21984,787,0028400890,"APR 05, 1985",PHL vs. CHI,W,34,6,9,0.667,0,0,,4,6,0.667,2,3,5.0,1,1,2,3,4,16,,0
6,21984,787,0028400874,"APR 03, 1985",PHL vs. CLE,L,22,3,9,0.333,0,0,,2,5,0.4,2,4,6.0,2,3,0,1,3,8,,0
7,21984,787,0028400867,"APR 02, 1985",PHL @ ATL,W,35,10,18,0.556,0,0,,1,5,0.2,9,6,15.0,2,1,1,3,3,21,,0
8,21984,787,0028400859,"MAR 30, 1985",PHL @ CHI,W,36,9,12,0.75,0,0,,4,7,0.571,2,9,11.0,0,2,2,3,4,22,,0
9,21984,787,0028400845,"MAR 29, 1985",PHL @ BOS,L,27,6,12,0.5,0,0,,6,8,0.75,3,2,5.0,1,1,1,5,4,18,,0
10,21984,787,0028400834,"MAR 27, 1985",PHL vs. WAS,W,28,5,10,0.5,0,0,,4,5,0.8,1,9,10.0,3,0,3,2,5,14,,0
11,21984,787,0028400820,"MAR 24, 1985",PHL vs. DEN,W,5,2,3,0.667,0,0,,0,1,0.0,0,3,3.0,0,0,1,1,2,4,,0
12,21984,787,0028400805,"MAR 22, 1985",PHL vs. MIL,L,21,1,5,0.2,0,1,0.0,7,8,0.875,0,5,5.0,3,0,0,1,1,9,,0
13,21984,787,0028400794,"MAR 20, 1985",PHL vs. KCK,L,40,9,14,0.643,0,0,,6,7,0.857,3,7,10.0,2,2,2,1,5,24,,0
14,21984,787,0028400785,"MAR 19, 1985",PHL @ CLE,L,34,4,9,0.444,0,0,,8,10,0.8,2,6,8.0,2,0,1,4,4,16,,0
15,21984,787,0028400771,"MAR 16, 1985",PHL vs. NJN,W,36,7,9,0.778,0,0,,5,6,0.833,4,6,10.0,2,1,5,3,3,19,,0
16,21984,787,0028400761,"MAR 15, 1985",PHL vs. NYK,W,25,8,13,0.615,0,1,0.0,0,0,,4,4,8.0,1,1,2,0,5,16,,0
17,21984,787,0028400753,"MAR 13, 1985",PHL vs. LAC,W,19,3,7,0.429,0,0,,5,5,1.0,2,3,5.0,1,2,1,0,5,11,,0
18,21984,787,0028400724,"MAR 09, 1985",PHL @ NYK,L,29,5,9,0.556,0,0,,12,16,0.75,5,4,9.0,2,2,0,6,4,22,,0
19,21984,787,0028400719,"MAR 08, 1985",PHL vs. SEA,W,22,6,11,0.545,0,0,,3,4,0.75,4,4,8.0,1,0,3,2,4,15,,0
20,21984,787,0028400710,"MAR 06, 1985",PHL vs. ATL,W,32,7,8,0.875,0,0,,1,2,0.5,2,6,8.0,0,2,0,1,3,15,,0
21,21984,787,0028400695,"MAR 04, 1985",PHL @ SAN,L,34,4,7,0.571,0,0,,0,0,,0,3,3.0,1,0,0,3,2,8,,0
22,21984,787,0028400693,"MAR 03, 1985",PHL @ HOU,L,31,8,15,0.533,1,1,1.0,1,4,0.25,5,7,12.0,1,0,1,1,5,18,,0
23,21984,787,0028400672,"FEB 28, 1985",PHL @ KCK,W,32,9,16,0.563,0,0,,4,6,0.667,5,4,9.0,3,1,1,2,4,22,,0
24,21984,787,0028400664,"FEB 26, 1985",PHL @ MIL,L,28,5,10,0.5,0,0,,4,8,0.5,1,7,8.0,1,0,0,1,6,14,,0
25,21984,787,0028400655,"FEB 24, 1985",PHL vs. UTH,W,36,4,9,0.444,0,0,,9,11,0.818,4,6,10.0,2,3,1,4,1,17,,0
26,21984,787,0028400641,"FEB 22, 1985",PHL vs. DET,W,39,12,14,0.857,0,0,,5,9,0.556,8,10,18.0,0,3,1,5,4,29,,0
27,21984,787,0028400631,"FEB 20, 1985",PHL vs. GOS,W,23,6,8,0.75,0,0,,3,4,0.75,2,4,6.0,2,4,0,3,3,15,,0
28,21984,787,0028400618,"FEB 18, 1985",PHL @ CLE,L,36,5,8,0.625,0,0,,8,13,0.615,3,6,9.0,1,0,2,3,5,18,,0
29,21984,787,0028400609,"FEB 16, 1985",PHL @ DET,W,35,7,13,0.538,0,0,,3,5,0.6,2,3,5.0,5,1,1,0,1,17,,0
30,21984,787,0028400603,"FEB 15, 1985",PHL vs. CLE,L,31,4,8,0.5,0,0,,7,9,0.778,2,1,3.0,3,2,2,0,5,15,,0
31,21984,787,0028400591,"FEB 13, 1985",PHL vs. NYK,W,20,6,6,1.0,0,0,,8,9,0.889,0,5,5.0,5,1,1,2,5,20,,0
32,21984,787,0028400580,"FEB 12, 1985",PHL @ IND,W,31,10,17,0.588,0,0,,0,2,0.0,3,7,10.0,1,1,2,4,4,20,,0
33,21984,787,0028400564,"FEB 06, 1985",PHL vs. WAS,W,34,4,7,0.571,0,0,,1,2,0.5,2,4,6.0,3,3,2,3,2,9,,0
34,21984,787,0028400553,"FEB 04, 1985",PHL vs. ATL,W,35,7,12,0.583,0,0,,3,3,1.0,5,5,10.0,0,2,1,1,2,17,,0
35,21984,787,0028400544,"FEB 02, 1985",PHL @ NJN,L,27,6,7,0.857,0,0,,3,4,0.75,2,8,10.0,1,0,1,3,3,15,,0
36,21984,787,0028400533,"FEB 01, 1985",PHL vs. CHI,W,28,6,11,0.545,0,0,,3,4,0.75,5,6,11.0,4,1,2,2,3,15,,0
37,21984,787,0028400523,"JAN 30, 1985",PHL vs. BOS,W,31,6,10,0.6,0,0,,0,0,,1,2,3.0,1,0,1,0,3,12,,0
38,21984,787,0028400508,"JAN 28, 1985",PHL @ DAL,L,31,5,12,0.417,0,0,,2,3,0.667,4,5,9.0,3,1,0,0,5,12,,0
39,21984,787,0028400501,"JAN 26, 1985",PHL @ LAC,W,36,8,12,0.667,0,0,,3,4,0.75,4,6,10.0,2,2,1,4,4,19,,0
40,21984,787,0028400493,"JAN 25, 1985",PHL @ LAL,L,21,4,8,0.5,0,0,,2,2,1.0,2,0,2.0,0,1,0,0,1,10,,0
41,21984,787,0028400475,"JAN 22, 1985",PHL @ CLE,W,25,5,8,0.625,0,0,,4,4,1.0,4,5,9.0,1,0,1,1,1,14,,0
42,21984,787,0028400470,"JAN 20, 1985",PHL @ BOS,L,26,8,15,0.533,0,1,0.0,0,0,,6,6,12.0,3,0,0,1,3,16,,0
43,21984,787,0028400445,"JAN 16, 1985",PHL vs. ATL,W,26,3,5,0.6,0,0,,2,2,1.0,1,7,8.0,8,4,1,4,4,8,,0
44,21984,787,0028400441,"JAN 15, 1985",PHL @ NYK,W,13,0,2,0.0,0,0,,1,2,0.5,0,3,3.0,2,0,0,1,4,1,,0
45,21984,787,0028400432,"JAN 13, 1985",PHL @ WAS,W,24,4,6,0.667,0,0,,3,4,0.75,2,2,4.0,1,0,0,4,4,11,,0
46,21984,787,0028400420,"JAN 11, 1985",PHL vs. HOU,W,26,4,7,0.571,0,0,,4,4,1.0,1,2,3.0,2,2,0,3,1,12,,0
47,21984,787,0028400404,"JAN 09, 1985",PHL vs. DET,W,34,5,9,0.556,0,0,,2,3,0.667,4,9,13.0,1,1,1,1,1,12,,0
48,21984,787,0028400396,"JAN 07, 1985",PHL vs. PHX,W,36,5,8,0.625,0,0,,5,6,0.833,5,8,13.0,4,2,0,1,3,15,,0
49,21984,787,0028400387,"JAN 05, 1985",PHL @ MIL,W,33,4,8,0.5,0,0,,12,13,0.923,6,6,12.0,3,0,0,0,4,20,,0
50,21984,787,0028400366,"JAN 02, 1985",PHL @ SEA,W,32,6,9,0.667,0,0,,6,9,0.667,1,5,6.0,4,2,1,2,5,18,,0
51,21984,787,0028400361,"JAN 01, 1985",PHL @ POR,W,30,2,4,0.5,0,0,,5,6,0.833,0,11,11.0,2,1,1,3,5,9,,0
52,21984,787,0028400358,"DEC 29, 1984",PHL @ GOS,W,33,6,8,0.75,0,0,,6,7,0.857,6,9,15.0,1,1,1,3,3,18,,0
53,21984,787,0028400346,"DEC 28, 1984",PHL @ UTH,W,19,2,5,0.4,0,0,,4,4,1.0,3,4,7.0,1,0,0,1,3,8,,0
54,21984,787,0028400326,"DEC 25, 1984",PHL @ DET,W,32,3,11,0.273,0,0,,2,3,0.667,2,8,10.0,1,0,0,1,5,8,,0
55,21984,787,0028400315,"DEC 22, 1984",PHL vs. NJN,W,31,2,4,0.5,0,0,,0,0,,2,9,11.0,7,3,0,1,2,4,,0
56,21984,787,0028400307,"DEC 21, 1984",PHL vs. MIL,L,36,8,16,0.5,0,0,,2,2,1.0,7,9,16.0,0,2,0,3,5,18,,0
57,21984,787,0028400302,"DEC 19, 1984",PHL vs. SAN,W,33,5,9,0.556,0,0,,0,0,,2,6,8.0,0,1,1,5,5,10,,0
58,21984,787,0028400278,"DEC 15, 1984",PHL @ CHI,W,37,6,9,0.667,0,0,,3,3,1.0,4,10,14.0,2,0,0,4,1,15,,0
59,21984,787,0028400270,"DEC 14, 1984",PHL @ MIL,W,24,3,7,0.429,0,0,,0,0,,1,3,4.0,2,1,1,2,5,6,,0
60,21984,787,0028400261,"DEC 12, 1984",PHL vs. BOS,W,37,6,11,0.545,0,0,,5,7,0.714,4,8,12.0,0,2,1,5,1,17,,0
61,21984,787,0028400251,"DEC 11, 1984",PHL @ NYK,L,25,1,5,0.2,0,0,,5,6,0.833,5,2,7.0,0,0,1,3,6,7,,0
62,21984,787,0028400245,"DEC 09, 1984",PHL vs. NYK,W,26,5,9,0.556,0,0,,2,3,0.667,2,4,6.0,1,2,1,2,1,12,,0
