,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,22005,101108,0020501229,"APR 19, 2006",NOK @ LAL,L,24,3,9,0.333,0,0,0.0,1,1,1.0,0,2,2,7,2,0,3,3,7,-6,0
1,22005,101108,0020501210,"APR 17, 2006",NOK @ PHX,L,29,4,10,0.4,0,2,0.0,3,4,0.75,1,3,4,5,3,0,3,1,11,-14,0
2,22005,101108,0020501202,"APR 16, 2006",NOK @ SAC,L,28,5,8,0.625,1,1,1.0,1,1,1.0,0,1,1,7,2,0,1,1,12,-6,0
3,22005,101108,0020501183,"APR 14, 2006",NOK vs. UTA,L,36,2,10,0.2,0,1,0.0,7,7,1.0,1,3,4,7,1,0,1,2,11,-7,0
4,22005,101108,0020501169,"APR 12, 2006",NOK vs. SEA,W,37,5,14,0.357,0,1,0.0,11,12,0.917,2,1,3,6,2,0,3,2,21,-1,0
5,22005,101108,0020501152,"APR 10, 2006",NOK vs. CLE,L,41,6,15,0.4,0,2,0.0,10,10,1.0,3,5,8,5,0,0,2,3,22,-7,0
6,22005,101108,0020501136,"APR 08, 2006",NOK @ DAL,L,27,4,6,0.667,1,2,0.5,0,0,0.0,1,4,5,5,0,0,2,2,9,-9,0
7,22005,101108,0020501126,"APR 07, 2006",NOK vs. TOR,W,36,7,13,0.538,1,3,0.333,1,1,1.0,0,3,3,8,2,1,1,1,16,6,0
8,22005,101108,0020501114,"APR 05, 2006",NOK vs. GSW,W,47,6,15,0.4,0,2,0.0,5,6,0.833,2,9,11,16,6,0,4,4,17,1,0
9,22005,101108,0020501101,"APR 04, 2006",NOK @ DET,L,37,8,17,0.471,0,1,0.0,8,8,1.0,1,3,4,10,5,0,2,4,24,1,0
