,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,21993,185,0029301106,"APR 24, 1994",GOS @ SAC,L,16,5,10,0.5,0,1,0.0,0,2,0.0,2,1,3,0,0,0,2,3,10,,0
1,21993,185,0029301092,"APR 23, 1994",GOS vs. LAL,W,29,10,18,0.556,0,1,0.0,7,10,0.7,7,5,12,5,2,3,2,4,27,,0
2,21993,185,0029301057,"APR 18, 1994",GOS @ LAC,W,34,11,16,0.688,0,0,0.0,3,4,0.75,7,8,15,2,3,3,0,2,25,,0
3,21993,185,0029301046,"APR 16, 1994",GOS vs. UTH,W,32,4,11,0.364,0,0,0.0,2,5,0.4,6,7,13,3,1,1,4,3,10,,0
4,21993,185,0029301032,"APR 14, 1994",GOS vs. POR,W,32,5,11,0.455,0,0,0.0,2,6,0.333,2,5,7,6,0,1,1,4,12,,0
5,21993,185,0029301016,"APR 12, 1994",GOS @ LAL,W,37,11,15,0.733,0,0,0.0,3,4,0.75,2,8,10,9,2,3,2,4,25,,0
6,21993,185,0029301006,"APR 11, 1994",GOS vs. DAL,W,22,6,12,0.5,0,0,0.0,1,3,0.333,1,1,2,2,2,1,2,1,13,,0
7,21993,185,0029300995,"APR 09, 1994",GOS @ MIN,W,37,8,12,0.667,0,1,0.0,4,6,0.667,2,8,10,4,1,4,3,3,20,,0
8,21993,185,0029300980,"APR 07, 1994",GOS @ HOU,L,28,3,7,0.429,0,0,0.0,2,3,0.667,0,5,5,7,0,0,3,3,8,,0
9,21993,185,0029300965,"APR 05, 1994",GOS @ SAN,W,47,9,17,0.529,0,0,0.0,3,6,0.5,3,6,9,5,4,3,3,3,21,,0
10,21993,185,0029300953,"APR 02, 1994",GOS @ SEA,L,35,5,13,0.385,0,0,0.0,1,1,1.0,6,10,16,3,1,4,2,3,11,,0
11,21993,185,0029300942,"APR 01, 1994",GOS vs. MIN,W,26,10,13,0.769,0,0,0.0,1,2,0.5,1,3,4,4,1,1,2,5,21,,0
12,21993,185,0029300932,"MAR 30, 1994",GOS vs. HOU,L,36,6,15,0.4,0,1,0.0,3,8,0.375,2,9,11,7,1,2,2,0,15,,0
13,21993,185,0029300923,"MAR 29, 1994",GOS @ UTH,W,30,7,14,0.5,0,0,0.0,1,4,0.25,5,4,9,0,0,3,1,3,15,,0
14,21993,185,0029300907,"MAR 26, 1994",GOS vs. SAN,L,37,11,16,0.688,0,0,0.0,1,1,1.0,2,6,8,4,1,3,5,6,23,,0
15,21993,185,0029300894,"MAR 24, 1994",GOS vs. MIL,W,36,9,17,0.529,0,0,0.0,3,8,0.375,6,6,12,3,1,1,4,5,21,,0
16,21993,185,0029300872,"MAR 22, 1994",GOS vs. ORL,W,31,10,12,0.833,0,0,0.0,5,11,0.455,2,3,5,2,2,3,4,5,25,,0
17,21993,185,0029300856,"MAR 19, 1994",GOS @ DAL,W,26,6,10,0.6,0,0,0.0,1,2,0.5,5,7,12,2,0,2,3,1,13,,0
18,21993,185,0029300844,"MAR 17, 1994",GOS @ HOU,L,36,8,16,0.5,0,1,0.0,1,1,1.0,4,5,9,2,1,0,4,3,17,,0
19,21993,185,0029300826,"MAR 15, 1994",GOS vs. WAS,W,28,6,9,0.667,0,0,0.0,5,6,0.833,5,5,10,2,2,1,1,0,17,,0
20,21993,185,0029300820,"MAR 13, 1994",GOS @ LAC,L,40,14,21,0.667,0,0,0.0,7,12,0.583,3,4,7,3,4,6,5,3,35,,0
21,21993,185,0029300761,"MAR 05, 1994",GOS vs. CHH,W,15,3,5,0.6,0,0,0.0,3,5,0.6,1,3,4,3,2,1,2,3,9,,0
22,21993,185,0029300751,"MAR 03, 1994",GOS vs. PHX,W,33,7,17,0.412,0,0,0.0,0,4,0.0,9,2,11,6,2,4,1,3,14,,0
23,21993,185,0029300739,"MAR 01, 1994",GOS vs. LAC,W,38,13,24,0.542,0,0,0.0,0,0,0.0,11,7,18,6,2,4,1,4,26,,0
24,21993,185,0029300726,"FEB 27, 1994",GOS @ MIN,L,39,13,29,0.448,0,0,0.0,6,8,0.75,10,6,16,0,3,2,2,4,32,,0
25,21993,185,0029300714,"FEB 25, 1994",GOS @ CLE,L,36,9,15,0.6,0,0,0.0,0,4,0.0,4,7,11,5,1,5,4,2,18,,0
26,21993,185,0029300695,"FEB 23, 1994",GOS @ CHI,L,19,3,9,0.333,0,0,0.0,1,2,0.5,3,3,6,0,0,0,2,3,7,,0
27,21993,185,0029300693,"FEB 22, 1994",GOS @ MIL,W,32,6,13,0.462,0,0,0.0,0,3,0.0,2,3,5,4,3,6,3,2,12,,0
28,21993,185,0029300672,"FEB 19, 1994",GOS vs. BOS,W,39,7,17,0.412,0,0,0.0,6,8,0.75,4,5,9,3,2,2,2,3,20,,0
29,21993,185,0029300656,"FEB 17, 1994",GOS vs. ATL,W,35,10,14,0.714,0,0,0.0,1,4,0.25,4,8,12,3,0,1,1,3,21,,0
30,21993,185,0029300640,"FEB 15, 1994",GOS vs. SAC,W,26,5,9,0.556,0,0,0.0,7,10,0.7,2,4,6,2,0,1,2,3,17,,0
31,21993,185,0029300629,"FEB 10, 1994",GOS @ NYK,W,35,5,12,0.417,0,0,0.0,3,8,0.375,3,6,9,8,1,2,1,5,13,,0
32,21993,185,0029300627,"FEB 09, 1994",GOS @ CHH,W,26,10,15,0.667,0,0,0.0,2,4,0.5,4,5,9,2,0,0,3,1,22,,0
33,21993,185,0029300609,"FEB 07, 1994",GOS @ IND,L,40,8,11,0.727,0,0,0.0,3,5,0.6,6,5,11,7,0,3,1,5,19,,0
34,21993,185,0029300605,"FEB 06, 1994",GOS @ WAS,W,39,12,15,0.8,0,0,0.0,2,6,0.333,3,9,12,5,0,1,4,2,26,,0
35,21993,185,0029300589,"FEB 04, 1994",GOS vs. CHI,L,33,4,11,0.364,0,0,0.0,2,4,0.5,3,6,9,1,0,1,3,3,10,,0
36,21993,185,0029300570,"FEB 02, 1994",GOS vs. DEN,W,29,7,9,0.778,0,0,0.0,2,4,0.5,2,4,6,2,1,2,4,3,16,,0
37,21993,185,0029300559,"JAN 31, 1994",GOS @ LAC,W,32,7,9,0.778,0,1,0.0,6,9,0.667,3,2,5,4,1,3,4,4,20,,0
38,21993,185,0029300550,"JAN 29, 1994",GOS vs. NJN,L,29,8,15,0.533,0,1,0.0,5,7,0.714,3,3,6,3,1,1,2,2,21,,0
39,21993,185,0029300539,"JAN 28, 1994",GOS @ UTH,L,27,5,16,0.313,0,0,0.0,0,1,0.0,4,6,10,0,0,2,1,1,10,,0
40,21993,185,0029300528,"JAN 26, 1994",GOS vs. DET,W,31,9,15,0.6,0,0,0.0,2,3,0.667,5,6,11,5,1,0,2,5,20,,0
41,21993,185,0029300505,"JAN 22, 1994",GOS @ NJN,L,30,10,22,0.455,0,0,0.0,3,4,0.75,7,5,12,3,1,1,2,1,23,,0
42,21993,185,0029300498,"JAN 21, 1994",GOS @ BOS,L,27,7,14,0.5,0,1,0.0,4,8,0.5,3,0,3,1,0,4,3,5,18,,0
43,21993,185,0029300486,"JAN 19, 1994",GOS @ ATL,W,36,7,11,0.636,0,0,0.0,4,5,0.8,3,6,9,4,1,0,3,3,18,,0
44,21993,185,0029300468,"JAN 17, 1994",GOS vs. PHX,W,31,7,12,0.583,0,0,0.0,2,6,0.333,6,6,12,4,2,4,5,3,16,,0
45,21993,185,0029300447,"JAN 14, 1994",GOS vs. SEA,W,35,7,9,0.778,0,0,0.0,3,6,0.5,4,4,8,5,0,3,5,3,17,,0
46,21993,185,0029300431,"JAN 12, 1994",GOS vs. MIA,W,39,12,23,0.522,0,0,0.0,3,4,0.75,5,4,9,2,0,0,2,4,27,,0
47,21993,185,0029300426,"JAN 11, 1994",GOS @ LAL,W,25,5,10,0.5,0,0,0.0,6,10,0.6,2,8,10,4,2,1,4,4,16,,0
48,21993,185,0029300418,"JAN 09, 1994",GOS @ PHX,L,35,8,13,0.615,0,0,0.0,2,6,0.333,2,6,8,3,2,2,1,1,18,,0
49,21993,185,0029300394,"JAN 06, 1994",GOS vs. SAN,W,33,8,13,0.615,0,0,0.0,3,5,0.6,4,4,8,4,2,4,2,6,19,,0
50,21993,185,0029300377,"JAN 04, 1994",GOS vs. SAC,W,39,15,23,0.652,0,0,0.0,6,10,0.6,5,8,13,4,3,6,2,1,36,,0
51,21993,185,0029300365,"DEC 30, 1993",GOS @ DEN,L,37,8,18,0.444,0,0,0.0,1,2,0.5,6,6,12,3,2,2,4,4,17,,0
52,21993,185,0029300346,"DEC 28, 1993",GOS vs. PHL,L,31,7,13,0.538,0,0,0.0,2,4,0.5,2,9,11,3,3,4,3,2,16,,0
53,21993,185,0029300336,"DEC 26, 1993",GOS @ POR,W,40,11,16,0.688,0,0,0.0,2,2,1.0,4,5,9,3,2,6,4,3,24,,0
54,21993,185,0029300324,"DEC 23, 1993",GOS vs. LAC,W,32,9,13,0.692,0,0,0.0,4,8,0.5,5,7,12,12,1,1,2,2,22,,0
55,21993,185,0029300308,"DEC 21, 1993",GOS vs. POR,L,26,5,10,0.5,0,0,0.0,0,2,0.0,1,1,2,4,2,3,4,5,10,,0
56,21993,185,0029300292,"DEC 18, 1993",GOS @ SEA,L,33,9,14,0.643,0,0,0.0,1,2,0.5,4,7,11,5,0,1,3,4,19,,0
57,21993,185,0029300283,"DEC 17, 1993",GOS @ SAC,W,26,4,7,0.571,0,0,0.0,3,4,0.75,2,5,7,4,2,0,2,4,11,,0
58,21993,185,0029300263,"DEC 15, 1993",GOS @ PHX,L,40,9,16,0.563,0,0,0.0,3,6,0.5,6,5,11,4,1,1,2,4,21,,0
59,21993,185,0029300249,"DEC 12, 1993",GOS @ LAL,W,37,6,12,0.5,0,0,0.0,0,0,0.0,3,2,5,5,1,1,2,3,12,,0
60,21993,185,0029300240,"DEC 11, 1993",GOS vs. UTH,W,41,7,12,0.583,0,0,0.0,2,8,0.25,4,5,9,11,2,1,3,3,16,,0
61,21993,185,0029300223,"DEC 09, 1993",GOS vs. NYK,L,37,4,16,0.25,0,3,0.0,0,2,0.0,8,4,12,4,0,0,5,5,8,,0
62,21993,185,0029300210,"DEC 07, 1993",GOS vs. DEN,W,20,5,8,0.625,0,1,0.0,3,4,0.75,0,4,4,2,2,0,2,5,13,,0
63,21993,185,0029300199,"DEC 04, 1993",GOS vs. IND,W,38,11,22,0.5,0,0,0.0,4,7,0.571,6,1,7,1,3,1,3,3,26,,0
64,21993,185,0029300184,"DEC 02, 1993",GOS vs. MIN,L,31,4,8,0.5,0,0,0.0,3,6,0.5,4,1,5,2,0,5,3,6,11,,0
65,21993,185,0029300169,"NOV 30, 1993",GOS vs. DAL,W,30,4,7,0.571,0,0,0.0,1,2,0.5,1,5,6,4,1,3,2,3,9,,0
66,21993,185,0029300162,"NOV 28, 1993",GOS @ DET,W,1,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,1,0,0,,0
67,21993,185,0029300143,"NOV 26, 1993",GOS @ PHL,W,36,10,17,0.588,0,0,0.0,1,2,0.5,6,8,14,2,2,1,3,4,21,,0
68,21993,185,0029300134,"NOV 24, 1993",GOS @ MIA,W,41,10,13,0.769,0,0,0.0,4,5,0.8,6,10,16,3,0,4,3,3,24,,0
69,21993,185,0029300127,"NOV 23, 1993",GOS @ ORL,L,29,6,11,0.545,0,1,0.0,1,2,0.5,5,5,10,3,0,2,5,4,13,,0
70,21993,185,0029300114,"NOV 20, 1993",GOS vs. SEA,L,37,7,21,0.333,0,0,0.0,0,1,0.0,9,9,18,4,0,5,2,3,14,,0
71,21993,185,0029300096,"NOV 18, 1993",GOS vs. LAL,W,26,6,15,0.4,0,0,0.0,1,3,0.333,5,6,11,3,2,4,7,3,13,,0
