,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,21970,76462,0027000691,"MAR 21, 1971",BOS vs. CIN,W,22,5,9.0,,,,,6,7,0.857,,,8.0,2.0,,,,3.0,16,,0
1,21970,76462,0027000678,"MAR 19, 1971",BOS vs. BLT,W,42,8,20.0,,,,,7,9,0.778,,,17.0,1.0,,,,4.0,23,,0
2,21970,76462,0027000672,"MAR 17, 1971",BOS vs. LAL,W,43,8,19.0,,,,,1,2,0.5,,,17.0,4.0,,,,4.0,17,,0
3,21970,76462,0027000658,"MAR 14, 1971",BOS vs. CHI,W,34,3,9.0,,,,,3,5,0.6,,,15.0,7.0,,,,6.0,9,,0
4,21970,76462,0027000651,"MAR 12, 1971",BOS @ CIN,L,0,4,13.0,,,,,2,2,1.0,,,19.0,,,,,3.0,10,,0
5,21970,76462,0027000790,"MAR 11, 1971",BOS @ SDR,L,38,6,13.0,,,,,3,4,0.75,,,12.0,6.0,,,,4.0,15,,0
6,21970,76462,0027000640,"MAR 09, 1971",BOS @ SFW,W,42,7,16.0,,,,,9,10,0.9,,,19.0,0.0,,,,4.0,23,,0
7,21970,76462,0027000627,"MAR 07, 1971",BOS vs. NYK,L,34,5,14.0,,,,,3,4,0.75,,,12.0,2.0,,,,6.0,13,,0
8,21970,76462,0027000622,"MAR 06, 1971",BOS @ NYK,L,47,6,20.0,,,,,1,1,1.0,,,16.0,2.0,,,,6.0,13,,0
9,21970,76462,0027000785,"MAR 03, 1971",BOS vs. SDR,W,40,6,18.0,,,,,7,8,0.875,,,24.0,5.0,,,,4.0,19,,0
10,21970,76462,0027000597,"FEB 28, 1971",BOS vs. MIL,L,47,16,31.0,,,,,4,5,0.8,,,19.0,4.0,,,,4.0,36,,0
11,21970,76462,0027000586,"FEB 26, 1971",BOS vs. ATL,W,51,8,16.0,,,,,2,3,0.667,,,21.0,5.0,,,,5.0,18,,0
12,21970,76462,0027000579,"FEB 24, 1971",BOS vs. LAL,W,0,5,18.0,,,,,2,2,1.0,,,16.0,5.0,,,,4.0,12,,0
13,21970,76462,0027000570,"FEB 21, 1971",BOS @ LAL,L,45,4,15.0,,,,,1,1,1.0,,,14.0,6.0,,,,4.0,9,,0
14,21970,76462,0027000780,"FEB 20, 1971",BOS @ SDR,L,43,5,14.0,,,,,3,4,0.75,,,12.0,4.0,,,,4.0,13,,0
15,21970,76462,0027000557,"FEB 19, 1971",BOS @ PHX,L,29,3,5.0,,,,,0,2,0.0,,,9.0,2.0,,,,6.0,6,,0
16,21970,76462,0027000550,"FEB 17, 1971",BOS @ SFW,W,30,10,18.0,,,,,0,0,0.0,,,14.0,5.0,,,,2.0,20,,0
17,21970,76462,0027000541,"FEB 16, 1971",BOS vs. PHX,L,41,10,22.0,,,,,6,7,0.857,,,17.0,4.0,,,,,26,,0
18,21970,76462,0027000535,"FEB 14, 1971",BOS @ DET,W,32,8,21.0,,,,,2,2,1.0,,,12.0,2.0,,,,5.0,18,,0
19,21970,76462,0027000523,"FEB 12, 1971",BOS @ BLT,W,48,8,20.0,,,,,4,5,0.8,,,20.0,3.0,,,,5.0,20,,0
20,21970,76462,0027000517,"FEB 10, 1971",BOS @ ATL,L,44,7,13.0,,,,,3,3,1.0,,,17.0,2.0,,,,4.0,17,,0
21,21970,76462,0027000516,"FEB 09, 1971",BOS @ CHI,W,45,3,11.0,,,,,4,6,0.667,,,17.0,4.0,,,,4.0,10,,0
22,21970,76462,0027000504,"FEB 07, 1971",BOS vs. CHI,W,36,4,13.0,,,,,1,1,1.0,,,10.0,1.0,,,,6.0,9,,0
23,21970,76462,0027000490,"FEB 05, 1971",BOS vs. CIN,W,46,8,19.0,,,,,1,3,0.333,,,21.0,1.0,,,,5.0,17,,0
24,21970,76462,0027000487,"FEB 03, 1971",BOS @ CIN,L,43,7,17.0,,,,,0,2,0.0,,,17.0,3.0,,,,3.0,14,,0
25,21970,76462,0027000483,"FEB 02, 1971",BOS @ PHL,L,47,7,26.0,,,,,8,10,0.8,,,28.0,0.0,,,,5.0,22,,0
