,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,21962,76545,0026200359,"MAR 17, 1963",DET @ STL,L,19,7,13.0,,,,,5,7,,,,6.0,2.0,,,,2.0,19,,0
1,21962,76545,0026200350,"MAR 13, 1963",DET vs. NYK,W,0,7,,,,,,2,4,,,,,,,,,5.0,16,,0
2,21962,76545,0026200342,"MAR 10, 1963",DET vs. LAL,W,0,8,,,,,,7,10,,,,17.0,,,,,3.0,23,,0
3,21962,76545,0026200336,"MAR 08, 1963",DET vs. SFW,W,39,6,16.0,,,,,9,16,0.563,,,13.0,3.0,,,,3.0,21,,0
4,21962,76545,0026200334,"MAR 07, 1963",DET vs. BOS,L,0,6,,,,,,5,7,,,,,,,,,4.0,17,,0
5,21962,76545,0026200329,"MAR 05, 1963",DET vs. SFW,W,44,7,16.0,,,,,1,3,,,,18.0,10.0,,,,5.0,15,,0
6,21962,76545,0026200323,"MAR 03, 1963",DET vs. SYR,L,0,14,,,,,,3,4,,,,,,,,,5.0,31,,0
7,21962,76545,0026200320,"MAR 02, 1963",DET @ SYR,L,0,7,,,,,,2,2,,,,,,,,,4.0,16,,0
8,21962,76545,0026200318,"MAR 01, 1963",DET vs. STL,W,0,11,16.0,,,,,6,10,,,,18.0,6.0,,,,5.0,28,,0
9,21962,76545,0026200316,"FEB 28, 1963",DET vs. CHZ,W,0,9,,,,,,3,4,,,,,,,,,5.0,21,,0
10,21962,76545,0026200308,"FEB 25, 1963",DET @ LAL,L,0,4,,,,,,0,0,,,,,,,,,4.0,8,,0
11,21962,76545,0026200305,"FEB 24, 1963",DET vs. CIN,W,0,5,10.0,,,,,4,6,,,,7.0,,,,,6.0,14,,0
12,21962,76545,0026200302,"FEB 23, 1963",DET @ CIN,W,0,2,7.0,,,,,5,7,,,,6.0,,,,,5.0,9,,0
