,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,21989,764,0028901101,"APR 22, 1990",SAN vs. PHX,W,37,9,19,0.474,0,0,0.0,5,8,0.625,3,15,18,1,2,4,1,2,23,,0
1,21989,764,0028901088,"APR 20, 1990",SAN @ DEN,W,35,7,16,0.438,0,0,0.0,12,17,0.706,5,6,11,2,1,3,1,2,26,,0
2,21989,764,0028901070,"APR 18, 1990",SAN vs. UTH,W,42,14,18,0.778,0,0,0.0,2,4,0.5,4,12,16,3,2,5,1,1,30,,0
3,21989,764,0028901060,"APR 16, 1990",SAN @ CHH,W,41,8,20,0.4,0,0,0.0,9,10,0.9,4,8,12,0,1,1,2,2,25,,0
4,21989,764,0028901051,"APR 14, 1990",SAN vs. SAC,W,33,1,5,0.2,0,0,0.0,3,8,0.375,1,8,9,2,5,4,2,2,5,,0
5,21989,764,0028901036,"APR 12, 1990",SAN vs. LAC,W,36,12,22,0.545,0,0,0.0,8,10,0.8,4,9,13,1,2,1,3,6,32,,0
6,21989,764,0028901019,"APR 10, 1990",SAN @ GOS,W,34,13,21,0.619,0,0,0.0,10,12,0.833,5,7,12,4,3,4,5,2,36,,0
7,21989,764,0028901006,"APR 08, 1990",SAN @ POR,L,42,15,27,0.556,0,1,0.0,6,8,0.75,4,15,19,1,4,3,2,0,36,,0
8,21989,764,0028901000,"APR 07, 1990",SAN @ SAC,W,21,6,15,0.4,0,0,0.0,4,6,0.667,5,5,10,1,2,3,3,5,16,,0
9,21989,764,0028900983,"APR 04, 1990",SAN @ DAL,L,39,12,20,0.6,0,0,0.0,8,11,0.727,4,8,12,2,1,5,1,4,32,,0
10,21989,764,0028900970,"APR 03, 1990",SAN vs. MIN,L,40,6,12,0.5,0,0,0.0,6,10,0.6,4,9,13,2,0,4,5,5,18,,0
11,21989,764,0028900955,"MAR 31, 1990",SAN vs. MIL,W,41,7,10,0.7,0,0,0.0,5,11,0.455,3,8,11,1,1,6,3,3,19,,0
12,21989,764,0028900941,"MAR 29, 1990",SAN vs. DAL,L,38,12,16,0.75,0,1,0.0,9,14,0.643,4,4,8,2,3,5,2,2,33,,0
13,21989,764,0028900926,"MAR 27, 1990",SAN vs. SEA,W,40,9,17,0.529,0,0,0.0,4,5,0.8,5,7,12,3,2,5,2,4,22,,0
14,21989,764,0028900919,"MAR 26, 1990",SAN @ HOU,L,34,8,20,0.4,0,0,0.0,8,11,0.727,5,7,12,0,3,3,5,3,24,,0
15,21989,764,0028900913,"MAR 24, 1990",SAN vs. DET,W,32,7,16,0.438,0,0,0.0,10,13,0.769,5,4,9,1,0,3,8,4,24,,0
16,21989,764,0028900893,"MAR 22, 1990",SAN vs. POR,W,43,11,17,0.647,0,0,0.0,7,8,0.875,5,14,19,0,1,6,6,3,29,,0
17,21989,764,0028900876,"MAR 20, 1990",SAN @ SEA,W,35,13,17,0.765,0,0,0.0,13,13,1.0,3,8,11,4,0,7,3,3,39,,0
18,21989,764,0028900869,"MAR 19, 1990",SAN @ PHX,W,43,13,19,0.684,0,0,0.0,8,9,0.889,1,13,14,7,1,8,1,4,34,,0
19,21989,764,0028900860,"MAR 17, 1990",SAN vs. MIA,W,37,6,20,0.3,0,0,0.0,4,7,0.571,4,5,9,0,2,5,3,3,16,,0
20,21989,764,0028900842,"MAR 15, 1990",SAN @ DET,L,41,7,19,0.368,0,0,0.0,2,3,0.667,4,9,13,0,2,1,5,1,16,,0
21,21989,764,0028900828,"MAR 13, 1990",SAN @ IND,W,40,8,21,0.381,0,0,0.0,10,12,0.833,5,10,15,0,1,5,2,3,26,,0
