,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,21991,87,0029100954,"MAR 28, 1992",DEN vs. PHX,L,34,5,14,0.357,0,0,0.0,7,13,0.538,6,3,9,0,0,0,1,4,17,,0
1,21991,87,0029100939,"MAR 26, 1992",DEN vs. NYK,L,41,3,7,0.429,0,0,0.0,5,6,0.833,4,7,11,2,1,2,3,5,11,,0
2,21991,87,0029100924,"MAR 24, 1992",DEN @ CHI,L,37,6,11,0.545,0,0,0.0,2,2,1.0,2,10,12,2,1,4,7,4,14,,0
3,21991,87,0029100922,"MAR 23, 1992",DEN @ MIN,W,40,6,13,0.462,0,0,0.0,4,6,0.667,1,13,14,3,2,5,2,4,16,,0
4,21991,87,0029100905,"MAR 21, 1992",DEN vs. LAC,L,28,2,6,0.333,0,0,0.0,2,6,0.333,3,4,7,0,0,1,3,4,6,,0
5,21991,87,0029100896,"MAR 19, 1992",DEN @ UTH,L,29,2,7,0.286,0,0,0.0,1,4,0.25,3,3,6,1,0,2,4,4,5,,0
6,21991,87,0029100882,"MAR 17, 1992",DEN vs. SAC,W,36,6,11,0.545,0,0,0.0,5,5,1.0,8,7,15,0,1,5,2,0,17,,0
7,21991,87,0029100866,"MAR 15, 1992",DEN @ CLE,L,29,1,4,0.25,0,0,0.0,1,4,0.25,2,4,6,0,1,2,2,4,3,,0
8,21991,87,0029100849,"MAR 13, 1992",DEN @ MIA,L,32,5,8,0.625,0,0,0.0,3,3,1.0,1,3,4,3,0,3,3,5,13,,0
9,21991,87,0029100834,"MAR 10, 1992",DEN @ ORL,W,42,5,10,0.5,0,0,0.0,3,6,0.5,3,5,8,1,0,10,4,4,13,,0
10,21991,87,0029100818,"MAR 08, 1992",DEN vs. UTH,L,32,0,3,0.0,0,0,0.0,0,0,0.0,2,7,9,1,0,6,3,5,0,,0
11,21991,87,0029100802,"MAR 06, 1992",DEN vs. DET,L,13,1,3,0.333,0,0,0.0,2,2,1.0,1,5,6,0,0,0,1,1,4,,0
12,21991,87,0029100791,"MAR 04, 1992",DEN vs. POR,L,29,1,7,0.143,0,0,0.0,6,8,0.75,3,6,9,3,0,1,8,5,8,,0
13,21991,87,0029100780,"MAR 03, 1992",DEN @ SEA,L,34,5,6,0.833,0,0,0.0,5,8,0.625,5,3,8,1,1,3,3,3,15,,0
14,21991,87,0029100766,"FEB 29, 1992",DEN @ SAN,L,33,3,7,0.429,0,0,0.0,1,6,0.167,2,5,7,5,1,5,2,5,7,,0
15,21991,87,0029100757,"FEB 28, 1992",DEN vs. HOU,L,46,4,7,0.571,0,0,0.0,7,9,0.778,8,7,15,1,0,2,5,3,15,,0
16,21991,87,0029100746,"FEB 26, 1992",DEN vs. MIA,L,43,5,11,0.455,0,0,0.0,0,3,0.0,4,8,12,3,2,3,1,3,10,,0
17,21991,87,0029100732,"FEB 24, 1992",DEN @ ATL,L,33,4,10,0.4,0,0,0.0,3,4,0.75,4,8,12,1,0,5,1,5,11,,0
18,21991,87,0029100722,"FEB 22, 1992",DEN @ NYK,L,41,7,15,0.467,0,0,0.0,3,4,0.75,7,7,14,1,1,0,5,5,17,,0
19,21991,87,0029100706,"FEB 21, 1992",DEN @ WAS,W,39,5,13,0.385,0,0,0.0,7,12,0.583,5,6,11,6,0,4,2,4,17,,0
20,21991,87,0029100701,"FEB 19, 1992",DEN @ CHH,L,41,6,9,0.667,0,0,0.0,4,6,0.667,4,8,12,5,0,6,6,4,16,,0
21,21991,87,0029100671,"FEB 15, 1992",DEN @ UTH,L,37,5,9,0.556,0,0,0.0,0,0,0.0,5,8,13,3,0,2,2,2,10,,0
22,21991,87,0029100661,"FEB 14, 1992",DEN vs. DAL,W,39,8,13,0.615,0,0,0.0,2,4,0.5,4,15,19,3,0,5,1,2,18,,0
23,21991,87,0029100648,"FEB 12, 1992",DEN vs. CLE,W,44,8,18,0.444,0,0,0.0,6,9,0.667,4,7,11,1,1,5,3,5,22,,0
24,21991,87,0029100643,"FEB 11, 1992",DEN @ POR,L,31,4,10,0.4,0,0,0.0,6,6,1.0,2,5,7,3,0,4,3,5,14,,0
25,21991,87,0029100630,"FEB 06, 1992",DEN @ MIL,L,42,10,16,0.625,0,0,0.0,7,11,0.636,4,10,14,1,0,6,4,2,27,,0
26,21991,87,0029100611,"FEB 03, 1992",DEN @ MIN,L,45,12,21,0.571,0,0,0.0,15,21,0.714,13,8,21,4,1,2,2,3,39,,0
27,21991,87,0029100601,"FEB 02, 1992",DEN vs. IND,L,40,5,9,0.556,0,0,0.0,7,11,0.636,1,3,4,1,1,1,3,5,17,,0
28,21991,87,0029100589,"JAN 31, 1992",DEN @ GOS,L,35,7,14,0.5,0,0,0.0,0,5,0.0,6,8,14,1,1,7,8,4,14,,0
29,21991,87,0029100578,"JAN 30, 1992",DEN vs. LAL,L,40,8,17,0.471,0,0,0.0,7,7,1.0,9,7,16,3,0,1,4,3,23,,0
30,21991,87,0029100551,"JAN 25, 1992",DEN vs. MIL,W,38,5,8,0.625,0,0,0.0,1,6,0.167,3,11,14,3,0,5,5,5,11,,0
31,21991,87,0029100534,"JAN 23, 1992",DEN vs. UTH,W,36,4,11,0.364,0,0,0.0,5,6,0.833,7,5,12,2,0,1,4,5,13,,0
32,21991,87,0029100521,"JAN 21, 1992",DEN @ SAC,L,41,6,19,0.316,0,0,0.0,5,7,0.714,9,10,19,2,0,2,3,3,17,,0
