,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,21949,78076,0024900560,"MAR 19, 1950",SYR vs. AND,W,0,7,,,,,,6,9,0.667,,,,,,,,,20,,0
1,21949,78076,0024900553,"MAR 18, 1950",SYR @ TCB,W,0,4,8.0,0.5,,,,9,10,0.9,,,,,,,,6.0,17,,0
2,21949,78076,0024900548,"MAR 16, 1950",SYR @ SHE,W,0,7,,,,,,4,10,0.4,,,,,,,,,18,,0
3,21949,78076,0024900541,"MAR 14, 1950",SYR @ INO,L,0,6,,,,,,5,7,0.714,,,,,,,,,17,,0
4,21949,78076,0024900534,"MAR 12, 1950",SYR vs. BOS,W,0,9,,,,,,3,4,0.75,,,,,,,,,21,,0
5,21949,78076,0024900520,"MAR 09, 1950",SYR vs. BOM,W,0,8,,,,,,3,6,0.5,,,,,,,,,19,,0
6,21949,78076,0024900504,"MAR 05, 1950",SYR vs. MNL,W,0,9,,,,,,10,13,0.769,,,,,,,,,28,,0
7,21949,78076,0024900491,"MAR 02, 1950",SYR @ SHE,L,0,9,,,,,,8,11,0.727,,,,,,,,,26,,0
8,21949,78076,0024900487,"MAR 01, 1950",SYR @ WAT,W,0,10,,,,,,4,4,1.0,,,,,,,,,24,,0
9,21949,78076,0024900481,"FEB 28, 1950",SYR @ INO,L,0,4,,,,,,3,4,0.75,,,,,,,,,11,,0
10,21949,78076,0024900480,"FEB 27, 1950",SYR @ AND,L,0,6,,,,,,5,12,0.417,,,,,,,,,17,,0
11,21949,78076,0024900477,"FEB 26, 1950",SYR vs. CHS,W,0,7,,,,,,10,11,0.909,,,,,,,,,24,,0
12,21949,78076,0024900465,"FEB 24, 1950",SYR vs. INO,W,0,4,,,,,,8,8,1.0,,,,,,,,,16,,0
13,21949,78076,0024900459,"FEB 23, 1950",SYR @ DN,W,0,9,,,,,,7,9,0.778,,,,,,,,,25,,0
14,21949,78076,0024900450,"FEB 21, 1950",SYR @ DN,L,0,10,,,,,,11,15,0.733,,,,,,,,,31,,0
15,21949,78076,0024900445,"FEB 19, 1950",SYR vs. INO,W,0,10,,,,,,9,15,0.6,,,,,,,,,29,,0
16,21949,78076,0024900432,"FEB 16, 1950",SYR vs. TCB,W,0,7,,,,,,3,4,0.75,,,,,,,,,17,,0
17,21949,78076,0024900414,"FEB 12, 1950",SYR vs. WAT,W,0,1,,,,,,6,7,0.857,,,,,,,,6.0,8,,0
18,21949,78076,0024900411,"FEB 11, 1950",SYR @ BAL,W,0,3,,,,,,3,3,1.0,,,,,,,,,9,,0
