,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,21982,1122,0028200933,"APR 16, 1983",ATL vs. MIL,W,38,7,18,0.389,0,0.0,,0,2,0.0,,,10,0,0.0,1.0,2.0,0,14,,0
1,21982,1122,0028200914,"APR 13, 1983",ATL @ KCK,L,35,6,13,0.462,0,0.0,,2,4,0.5,3.0,0.0,3,2,3.0,0.0,1.0,3,14,,0
2,21982,1122,0028200907,"APR 12, 1983",ATL vs. PHL,W,44,12,20,0.6,0,0.0,0.0,2,2,1.0,2.0,3.0,5,3,0.0,1.0,1.0,2,26,,0
3,21982,1122,0028200887,"APR 09, 1983",ATL @ WAS,L,30,4,11,0.364,0,,,0,0,0.0,,,6,0,3.0,0.0,,3,8,,0
4,21982,1122,0028200882,"APR 08, 1983",ATL vs. CHI,W,34,15,19,0.789,0,0.0,,4,4,1.0,,,3,3,2.0,1.0,,2,34,,0
5,21982,1122,0028200858,"APR 05, 1983",ATL vs. BOS,L,36,8,20,0.4,0,0.0,,0,0,0.0,5.0,3.0,8,0,0.0,0.0,3.0,3,16,,0
6,21982,1122,0028200850,"APR 02, 1983",ATL vs. IND,W,32,13,19,0.684,0,0.0,,0,0,0.0,,,4,1,,0.0,,3,26,,0
7,21982,1122,0028200841,"APR 01, 1983",ATL @ CHI,W,41,9,27,0.333,0,0.0,,7,8,0.875,,,15,3,,1.0,,2,25,,0
8,21982,1122,0028200830,"MAR 30, 1983",ATL @ PHL,L,43,9,22,0.409,0,0.0,0.0,5,6,0.833,7.0,2.0,9,3,2.0,2.0,1.0,1,23,,0
9,21982,1122,0028200825,"MAR 29, 1983",ATL vs. CLE,W,40,9,16,0.563,0,0.0,,1,3,0.333,3.0,5.0,8,1,1.0,1.0,3.0,2,19,,0
10,21982,1122,0028200811,"MAR 26, 1983",ATL @ NJN,L,22,4,9,0.444,0,,,3,4,0.75,,,5,0,,0.0,,1,11,,0
11,21982,1122,0028200804,"MAR 25, 1983",ATL vs. NYK,L,37,5,15,0.333,0,,,1,2,0.5,,,6,1,,1.0,,3,11,,0
12,21982,1122,0028200795,"MAR 23, 1983",ATL @ BOS,L,30,5,11,0.455,0,1.0,,2,2,1.0,3.0,4.0,7,1,0.0,0.0,2.0,5,12,,0
13,21982,1122,0028200788,"MAR 22, 1983",ATL @ IND,W,35,4,12,0.333,0,1.0,,1,2,0.5,0.0,4.0,4,1,1.0,0.0,2.0,3,9,,0
14,21982,1122,0028200771,"MAR 19, 1983",ATL vs. UTH,W,29,5,13,0.385,0,0.0,,2,4,0.5,,,4,1,,1.0,,3,12,,0
15,21982,1122,0028200760,"MAR 18, 1983",ATL @ CLE,W,35,7,12,0.583,0,0.0,,3,4,0.75,,,5,3,,0.0,,2,17,,0
16,21982,1122,0028200747,"MAR 16, 1983",ATL vs. WAS,W,36,5,14,0.357,0,0.0,,1,2,0.5,3.0,2.0,5,3,0.0,0.0,1.0,2,11,,0
17,21982,1122,0028200738,"MAR 15, 1983",ATL @ NYK,L,23,3,8,0.375,0,0.0,,0,0,0.0,2.0,2.0,4,0,2.0,0.0,3.0,4,6,,0
18,21982,1122,0028200727,"MAR 12, 1983",ATL @ DET,W,33,7,12,0.583,0,0.0,,5,5,1.0,,,9,1,,0.0,,4,19,,0
19,21982,1122,0028200708,"MAR 09, 1983",ATL @ MIL,L,33,4,16,0.25,0,1.0,,5,7,0.714,7.0,1.0,8,2,1.0,0.0,6.0,4,13,,0
20,21982,1122,0028200707,"MAR 08, 1983",ATL vs. POR,W,36,10,19,0.556,0,0.0,,10,10,1.0,4.0,3.0,7,2,2.0,3.0,4.0,5,30,,0
21,21982,1122,0028200699,"MAR 06, 1983",ATL @ WAS,L,32,7,13,0.538,1,1.0,,2,3,0.667,0.0,2.0,2,1,6.0,2.0,2.0,3,17,,0
22,21982,1122,0028200684,"MAR 04, 1983",ATL vs. HOU,W,25,7,14,0.5,0,0.0,,0,0,0.0,,,5,1,,1.0,,3,14,,0
23,21982,1122,0028200676,"MAR 03, 1983",ATL vs. WAS,W,41,7,18,0.389,0,0.0,,3,3,1.0,4.0,2.0,6,2,2.0,0.0,2.0,2,17,,0
24,21982,1122,0028200663,"MAR 01, 1983",ATL vs. IND,W,39,10,19,0.526,0,0.0,,6,9,0.667,4.0,5.0,9,0,2.0,0.0,5.0,1,26,,0
25,21982,1122,0028200655,"FEB 27, 1983",ATL @ IND,W,30,8,14,0.571,0,0.0,,2,3,0.667,2.0,3.0,5,0,2.0,0.0,3.0,3,18,,0
26,21982,1122,0028200647,"FEB 26, 1983",ATL vs. NJN,W,36,11,18,0.611,0,0.0,,2,4,0.5,,,6,2,,1.0,,1,24,,0
27,21982,1122,0028200636,"FEB 24, 1983",ATL vs. DET,W,30,9,17,0.529,0,0.0,,2,5,0.4,3.0,3.0,6,2,0.0,0.0,0.0,1,20,,0
28,21982,1122,0028200627,"FEB 22, 1983",ATL vs. GOS,L,43,8,13,0.615,0,0.0,,4,8,0.5,5.0,6.0,11,0,0.0,2.0,0.0,2,20,,0
29,21982,1122,0028200618,"FEB 20, 1983",ATL @ SAN,L,32,7,13,0.538,0,0.0,,2,2,1.0,,,1,1,0.0,0.0,,5,16,,0
30,21982,1122,0028200606,"FEB 19, 1983",ATL @ DAL,L,27,3,11,0.273,0,0.0,,3,5,0.6,,,6,0,0.0,2.0,2.0,3,9,,0
31,21982,1122,0028200583,"FEB 15, 1983",ATL @ HOU,W,30,7,11,0.636,1,1.0,,3,5,0.6,2.0,3.0,5,1,1.0,2.0,1.0,3,18,,0
