,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,22004,2730,0020401221,"APR 20, 2005",ORL vs. MIA,L,37,6,16,0.375,0,0,0.0,9,11,0.818,4,2,6.0,0,2,1,4,2,21,-12,0
1,22004,2730,0020401202,"APR 18, 2005",ORL vs. IND,W,38,6,10,0.6,0,0,0.0,5,9,0.556,2,7,9.0,2,3,1,1,4,17,6,0
2,22004,2730,0020401188,"APR 16, 2005",ORL @ MIL,L,39,9,17,0.529,0,0,0.0,1,4,0.25,3,12,15.0,0,0,0,4,3,19,-16,0
3,22004,2730,0020401178,"APR 15, 2005",ORL @ CHI,L,20,3,6,0.5,0,0,0.0,1,2,0.5,2,6,8.0,1,2,2,4,4,7,-26,0
4,22004,2730,0020401162,"APR 13, 2005",ORL @ DET,L,36,7,18,0.389,0,0,0.0,3,3,1.0,3,3,6.0,1,1,0,1,2,17,-20,0
5,22004,2730,0020401148,"APR 11, 2005",ORL vs. CLE,L,39,10,14,0.714,0,0,0.0,3,4,0.75,3,7,10.0,1,0,2,2,3,23,2,0
6,22004,2730,0020401121,"APR 08, 2005",ORL vs. DET,L,39,10,13,0.769,0,0,0.0,1,3,0.333,5,8,13.0,1,0,2,2,3,21,-13,0
7,22004,2730,0020401109,"APR 06, 2005",ORL vs. CHI,L,33,6,11,0.545,0,0,0.0,2,4,0.5,1,14,15.0,1,1,7,3,4,14,18,0
8,22004,2730,0020401101,"APR 05, 2005",ORL @ DAL,L,34,2,6,0.333,0,0,0.0,4,6,0.667,5,3,8.0,1,2,1,1,3,8,-15,0
9,22004,2730,0020401079,"APR 02, 2005",ORL @ NJN,W,35,6,8,0.75,0,0,0.0,3,6,0.5,3,5,8.0,0,1,2,3,4,15,-6,0
10,22004,2730,0020401068,"APR 01, 2005",ORL vs. WAS,L,29,7,11,0.636,0,0,0.0,8,14,0.571,6,5,11.0,4,4,2,2,5,22,6,0
