,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,21967,600006,0026700490,"MAR 20, 1968",BLT vs. PHL,L,41,19,39.0,,,,,8,8,1.0,,,2.0,4.0,,,,2.0,46,,0
1,21967,600006,0026700480,"MAR 17, 1968",BLT @ BOS,W,40,9,23.0,,,,,11,12,0.917,,,1.0,5.0,,,,3.0,29,,0
2,21967,600006,0026700477,"MAR 16, 1968",BLT vs. BOS,L,0,10,29.0,,,,,8,9,0.889,,,,,,,,,28,,0
3,21967,600006,0026700473,"MAR 15, 1968",BLT @ PHL,L,31,3,15.0,,,,,1,1,1.0,,,4.0,3.0,,,,1.0,7,,0
4,21967,600006,0026700470,"MAR 13, 1968",BLT vs. CHI,L,38,6,26.0,,,,,6,12,0.5,,,5.0,4.0,,,,4.0,18,,0
5,21967,600006,0026700465,"MAR 12, 1968",BLT @ NYK,L,44,12,21.0,,,,,13,16,0.813,,,5.0,5.0,,,,3.0,37,,0
6,21967,600006,0026700459,"MAR 10, 1968",BLT @ LAL,W,0,8,17.0,,,,,5,5,1.0,,,4.0,3.0,,,,4.0,21,,0
7,21967,600006,0026700450,"MAR 08, 1968",BLT @ SEA,W,42,13,24.0,,,,,7,7,1.0,,,4.0,5.0,,,,3.0,33,,0
8,21967,600006,0026700435,"MAR 05, 1968",BLT @ SEA,W,33,10,15.0,,,,,8,13,0.615,,,2.0,3.0,,,,5.0,28,,0
9,21967,600006,0026700433,"MAR 03, 1968",BLT @ LAL,L,0,9,21.0,,,,,6,7,0.857,,,5.0,3.0,,,,2.0,24,,0
10,21967,600006,0026700428,"MAR 02, 1968",BLT @ SFW,L,38,11,27.0,,,,,8,11,0.727,,,7.0,10.0,,,,6.0,30,,0
11,21967,600006,0026700424,"MAR 01, 1968",BLT @ SDR,W,32,9,17.0,,,,,4,6,0.667,,,4.0,10.0,,,,3.0,22,,0
12,21967,600006,0026700418,"FEB 28, 1968",BLT vs. NYK,L,43,13,25.0,,,,,14,17,0.824,,,4.0,6.0,,,,6.0,40,,0
13,21967,600006,0026700408,"FEB 24, 1968",BLT vs. DET,W,0,16,26.0,,,,,17,26,0.654,,,,10.0,,,,,49,,0
14,21967,600006,0026700406,"FEB 23, 1968",BLT @ STL,L,33,11,24.0,,,,,3,4,0.75,,,7.0,6.0,,,,4.0,25,,0
15,21967,600006,0026700401,"FEB 22, 1968",BLT @ CIN,W,40,5,20.0,,,,,6,9,0.667,,,6.0,3.0,,,,3.0,16,,0
16,21967,600006,0026700398,"FEB 21, 1968",BLT vs. SFW,W,37,9,22.0,,,,,11,12,0.917,,,4.0,8.0,,,,5.0,29,,0
17,21967,600006,0026700393,"FEB 20, 1968",BLT vs. STL,W,45,14,26.0,,,,,7,7,1.0,,,4.0,6.0,,,,4.0,35,,0
18,21967,600006,0026700385,"FEB 17, 1968",BLT @ CIN,L,0,16,30.0,,,,,12,16,0.75,,,6.0,,,,,3.0,44,,0
19,21967,600006,0026700379,"FEB 16, 1968",BLT vs. SEA,W,29,4,11.0,,,,,12,15,0.8,,,6.0,5.0,,,,4.0,20,,0
20,21967,600006,0026700368,"FEB 13, 1968",BLT vs. LAL,L,51,20,33.0,,,,,16,22,0.727,,,7.0,3.0,,,,4.0,56,,0
21,21967,600006,0026700364,"FEB 11, 1968",BLT vs. SDR,W,35,6,15.0,,,,,4,5,0.8,,,5.0,6.0,,,,4.0,16,,0
22,21967,600006,0026700359,"FEB 10, 1968",BLT @ DET,W,0,15,,,,,,7,9,0.778,,,,,,,,,37,,0
23,21967,600006,0026700354,"FEB 08, 1968",BLT vs. SDR,W,38,8,22.0,,,,,7,8,0.875,,,5.0,0.0,,,,5.0,23,,0
24,21967,600006,0026700348,"FEB 07, 1968",BLT vs. NYK,L,40,10,23.0,,,,,10,14,0.714,,,10.0,5.0,,,,4.0,30,,0
25,21967,600006,0026700343,"FEB 05, 1968",BLT vs. SDR,W,45,10,18.0,,,,,12,14,0.857,,,10.0,2.0,,,,2.0,32,,0
26,21967,600006,0026700339,"FEB 04, 1968",BLT @ DET,L,42,12,33.0,,,,,11,14,0.786,,,6.0,7.0,,,,5.0,35,,0
27,21967,600006,0026700334,"FEB 03, 1968",BLT vs. PHL,L,46,17,32.0,,,,,11,13,0.846,,,5.0,8.0,,,,4.0,45,,0
28,21967,600006,0026700332,"FEB 02, 1968",BLT @ BOS,L,25,7,20.0,,,,,0,2,0.0,,,5.0,1.0,,,,1.0,14,,0
29,21967,600006,0026700323,"JAN 31, 1968",BLT vs. DET,W,46,14,32.0,,,,,7,8,0.875,,,9.0,4.0,,,,4.0,35,,0
30,21967,600006,0026700316,"JAN 30, 1968",BLT @ NYK,W,44,16,25.0,,,,,7,8,0.875,,,4.0,3.0,,,,2.0,39,,0
31,21967,600006,0026700313,"JAN 28, 1968",BLT @ SEA,L,38,13,22.0,,,,,10,10,1.0,,,5.0,4.0,,,,5.0,36,,0
32,21967,600006,0026700309,"JAN 27, 1968",BLT @ SDR,W,0,12,,,,,,10,14,0.714,,,,,,,,,34,,0
33,21967,600006,0026700307,"JAN 26, 1968",BLT @ SFW,W,40,15,25.0,,,,,5,6,0.833,,,10.0,7.0,,,,2.0,35,,0
34,21967,600006,0026700302,"JAN 25, 1968",BLT @ SDR,W,41,11,19.0,,,,,8,11,0.727,,,7.0,9.0,,,,4.0,30,,0
35,21967,600006,0026700293,"JAN 20, 1968",BLT vs. BOS,W,0,14,,,,,,4,5,0.8,,,,,,,,,32,,0
36,21967,600006,0026700287,"JAN 18, 1968",BLT @ STL,L,44,10,19.0,,,,,6,8,0.75,,,5.0,4.0,,,,3.0,26,,0
