,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,21958,76127,0025800288,"MAR 11, 1959",MNL vs. DET,L,0,14,34.0,,,,,11,14,0.786,,,,,,,,5.0,39,,0
1,21958,76127,0025800283,"MAR 08, 1959",MNL vs. STL,W,0,14,30.0,,,,,8,15,0.533,,,22.0,,,,,5.0,36,,0
2,21958,76127,0025800278,"MAR 06, 1959",MNL @ DET,W,0,7,,,,,,4,7,0.571,,,,,,,,5.0,18,,0
3,21958,76127,0025800275,"MAR 05, 1959",MNL vs. NYK,W,0,14,20.0,,,,,4,6,0.667,,,11.0,6.0,,,,4.0,32,,0
4,21958,76127,0025800270,"MAR 04, 1959",MNL @ CIN,L,0,10,,,,,,13,18,0.722,,,,,,,,2.0,33,,0
5,21958,76127,0025800267,"MAR 03, 1959",MNL @ BOS,L,45,8,18.0,,,,,8,8,1.0,,,18.0,7.0,,,,3.0,24,,0
6,21958,76127,0025800265,"MAR 01, 1959",MNL vs. PHW,W,0,7,19.0,,,,,9,11,0.818,,,13.0,2.0,,,,4.0,23,,0
7,21958,76127,0025800261,"FEB 28, 1959",MNL @ NYK,L,0,13,26.0,,,,,8,9,0.889,,,16.0,,,,,4.0,34,,0
8,21958,76127,0025800258,"FEB 27, 1959",MNL @ BOS,L,40,7,24.0,,,,,14,14,1.0,,,20.0,4.0,,,,4.0,28,,0
9,21958,76127,0025800254,"FEB 25, 1959",MNL vs. CIN,W,0,22,38.0,,,,,11,17,0.647,,,12.0,,,,,3.0,55,,0
10,21958,76127,0025800248,"FEB 22, 1959",MNL @ STL,L,36,5,19.0,0.263,,,,0,4,0.0,,,9.0,,,,,4.0,10,,0
11,21958,76127,0025800242,"FEB 20, 1959",MNL vs. NYK,W,0,7,,,,,,6,9,0.667,,,,,,,,3.0,20,,0
12,21958,76127,0025800239,"FEB 18, 1959",MNL vs. DET,W,0,9,24.0,,,,,11,12,0.917,,,,,,,,4.0,29,,0
13,21958,76127,0025800236,"FEB 17, 1959",MNL @ DET,W,0,6,21.0,,,,,5,9,0.556,,,,,,,,2.0,17,,0
14,21958,76127,0025800232,"FEB 15, 1959",MNL vs. STL,W,0,11,28.0,0.393,,,,4,6,0.667,,,22.0,,,,,5.0,26,,0
15,21958,76127,0025800229,"FEB 14, 1959",MNL @ STL,L,0,10,18.0,0.556,,,,6,7,0.857,,,,,,,,5.0,26,,0
