,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,21990,56,0029001101,"APR 21, 1991",SEA @ LAL,L,19,1,3,0.333,0,0,0.0,0,0,0.0,0,1,1,6,0,0,1,4,2,,0
1,21990,56,0029001081,"APR 19, 1991",SEA vs. PHX,W,22,3,7,0.429,0,0,0.0,0,0,0.0,2,3,5,2,3,1,1,3,6,,0
2,21990,56,0029001077,"APR 18, 1991",SEA @ UTH,L,19,1,3,0.333,0,0,0.0,0,0,0.0,0,2,2,4,2,0,0,4,2,,0
3,21990,56,0029001058,"APR 15, 1991",SEA vs. HOU,L,26,2,6,0.333,0,0,0.0,1,2,0.5,1,2,3,3,3,0,3,3,5,,0
4,21990,56,0029001043,"APR 13, 1991",SEA vs. ORL,W,21,1,3,0.333,0,0,0.0,3,4,0.75,0,0,0,6,2,0,1,1,5,,0
5,21990,56,0029001036,"APR 12, 1991",SEA vs. SAN,W,31,3,8,0.375,0,0,0.0,2,2,1.0,2,3,5,7,5,0,3,1,8,,0
6,21990,56,0029001023,"APR 10, 1991",SEA vs. LAC,W,33,3,3,1.0,0,0,0.0,8,10,0.8,0,1,1,6,0,0,0,2,14,,0
7,21990,56,0029001009,"APR 08, 1991",SEA vs. DEN,W,29,3,7,0.429,0,0,0.0,0,0,0.0,1,1,2,8,2,0,4,2,6,,0
8,21990,56,0029001007,"APR 07, 1991",SEA @ DEN,W,29,5,6,0.833,0,0,0.0,4,7,0.571,0,0,0,2,2,2,0,4,14,,0
9,21990,56,0029000988,"APR 05, 1991",SEA @ LAC,L,19,0,3,0.0,0,0,0.0,0,0,0.0,5,2,7,0,0,0,1,3,0,,0
10,21990,56,0029000973,"APR 03, 1991",SEA vs. SAC,W,20,6,10,0.6,0,0,0.0,2,2,1.0,4,1,5,2,1,0,2,2,14,,0
11,21990,56,0029000952,"MAR 30, 1991",SEA vs. DAL,W,24,2,3,0.667,0,0,0.0,1,2,0.5,2,1,3,3,1,0,1,1,5,,0
12,21990,56,0029000948,"MAR 29, 1991",SEA vs. MIN,W,23,3,5,0.6,0,0,0.0,0,0,0.0,1,4,5,7,0,0,1,1,6,,0
13,21990,56,0029000930,"MAR 27, 1991",SEA vs. POR,L,24,5,11,0.455,0,0,0.0,2,4,0.5,6,2,8,6,3,0,3,1,12,,0
14,21990,56,0029000929,"MAR 26, 1991",SEA @ POR,L,15,1,2,0.5,0,0,0.0,0,0,0.0,3,0,3,2,1,0,1,4,2,,0
15,21990,56,0029000914,"MAR 24, 1991",SEA @ LAL,L,20,1,3,0.333,0,0,0.0,4,4,1.0,0,1,1,3,1,0,4,4,6,,0
16,21990,56,0029000895,"MAR 22, 1991",SEA @ PHX,W,25,1,4,0.25,0,0,0.0,0,0,0.0,4,1,5,8,0,1,1,5,2,,0
17,21990,56,0029000882,"MAR 20, 1991",SEA vs. LAL,W,25,1,2,0.5,0,0,0.0,0,1,0.0,0,4,4,12,0,0,3,2,2,,0
18,21990,56,0029000855,"MAR 16, 1991",SEA vs. UTH,L,22,3,3,1.0,0,0,0.0,0,0,0.0,1,1,2,5,4,0,1,0,6,,0
19,21990,56,0029000845,"MAR 15, 1991",SEA vs. MIN,L,31,5,9,0.556,0,0,0.0,0,0,0.0,1,2,3,4,2,0,1,2,10,,0
20,21990,56,0029000834,"MAR 13, 1991",SEA @ DAL,L,32,3,6,0.5,0,0,0.0,0,0,0.0,1,2,3,4,2,0,3,2,6,,0
21,21990,56,0029000822,"MAR 12, 1991",SEA @ HOU,L,22,4,11,0.364,0,1,0.0,1,1,1.0,2,0,2,4,1,0,1,2,9,,0
22,21990,56,0029000808,"MAR 09, 1991",SEA @ SAN,L,20,1,3,0.333,0,0,0.0,0,0,0.0,1,1,2,3,0,0,4,2,2,,0
23,21990,56,0029000791,"MAR 07, 1991",SEA @ MIN,W,17,2,4,0.5,0,0,0.0,0,0,0.0,2,1,3,4,0,1,0,4,4,,0
24,21990,56,0029000783,"MAR 05, 1991",SEA vs. CLE,L,32,1,6,0.167,0,0,0.0,0,0,0.0,3,0,3,7,2,0,0,4,2,,0
25,21990,56,0029000772,"MAR 04, 1991",SEA @ GOS,W,32,6,10,0.6,0,0,0.0,0,0,0.0,1,3,4,10,5,0,0,5,12,,0
