,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,21981,78318,0028100940,"APR 18, 1982",DET @ CLE,W,39,10,20,0.5,1,,,8,11,0.727,,,4,7,,,,3.0,29,,0
1,21981,78318,0028100932,"APR 17, 1982",DET vs. NJN,L,27,8,17,,2,4.0,,6,10,0.6,,,3,10,,,,5.0,24,,0
2,21981,78318,0028100921,"APR 15, 1982",DET vs. CLE,W,28,5,13,,2,3.0,,2,4,0.5,,,3,11,,0.0,,4.0,14,,0
3,21981,78318,0028100913,"APR 14, 1982",DET @ PHL,L,36,6,11,0.545,0,0.0,,0,2,0.0,0.0,0.0,0,8,,0.0,,5.0,12,,0
4,21981,78318,0028100894,"APR 11, 1982",DET vs. NYK,W,32,5,11,,1,2.0,,1,4,0.25,,,4,11,,,,5.0,12,,0
5,21981,78318,0028100880,"APR 09, 1982",DET vs. MIL,L,29,3,10,0.3,0,1.0,,3,5,0.6,,,4,5,4.0,0.0,4.0,6.0,9,,0
6,21981,78318,0028100867,"APR 07, 1982",DET vs. ATL,W,37,7,13,,0,0.0,,6,10,0.6,,,4,12,,2.0,,3.0,20,,0
7,21981,78318,0028100847,"APR 03, 1982",DET vs. IND,W,37,5,15,,0,1.0,,7,8,0.875,,,3,10,,,5.0,4.0,17,,0
8,21981,78318,0028100832,"APR 01, 1982",DET vs. DAL,L,33,9,15,,0,0.0,,2,2,1.0,,,2,5,,,3.0,5.0,20,,0
9,21981,78318,0028100824,"MAR 31, 1982",DET @ IND,L,38,7,19,,0,,,5,6,0.833,,,5,10,,,5.0,3.0,19,,0
10,21981,78318,0028100818,"MAR 30, 1982",DET @ WAS,L,26,3,13,,0,,,0,0,0.0,,,3,2,,,,2.0,6,,0
11,21981,78318,0028100805,"MAR 27, 1982",DET @ NJN,W,33,3,7,,0,,,3,5,0.6,,,1,6,,,,5.0,9,,0
12,21981,78318,0028100799,"MAR 26, 1982",DET @ BOS,L,25,3,9,,1,1.0,,0,0,0.0,,,2,8,,,,3.0,7,,0
13,21981,78318,0028100790,"MAR 25, 1982",DET vs. PHL,W,40,9,15,0.6,0,0.0,,3,5,0.6,,,5,8,,0.0,,5.0,21,,0
14,21981,78318,0028100765,"MAR 21, 1982",DET @ ATL,L,36,8,16,0.5,1,,,3,4,0.75,,,4,5,,0.0,,4.0,20,,0
15,21981,78318,0028100753,"MAR 19, 1982",DET @ HOU,W,29,9,15,,0,0.0,,2,4,0.5,,,5,3,,0.0,,5.0,20,,0
16,21981,78318,0028100749,"MAR 18, 1982",DET vs. SEA,W,29,7,19,,0,1.0,,5,7,0.714,0.0,0.0,0,12,1.0,1.0,2.0,4.0,19,,0
17,21981,78318,0028100735,"MAR 16, 1982",DET vs. SDC,W,37,9,16,,0,0.0,,9,10,0.9,,,3,9,,0.0,2.0,3.0,27,,0
18,21981,78318,0028100729,"MAR 14, 1982",DET @ CLE,W,40,5,15,,0,0.0,,5,6,0.833,0.0,0.0,0,11,,0.0,,3.0,15,,0
19,21981,78318,0028100712,"MAR 12, 1982",DET vs. GOS,W,37,5,18,,0,1.0,,8,10,0.8,0.0,1.0,1,10,1.0,0.0,3.0,3.0,18,,0
