,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,21963,77418,0026300352,"MAR 15, 1964",CIN vs. STL,W,38,9,13.0,,,,,3,4,0.75,,,20.0,3.0,,,,3.0,21,,0
1,21963,77418,0026300348,"MAR 14, 1964",CIN @ STL,L,48,8,18.0,,,,,4,5,0.8,,,18.0,0.0,,,,4.0,20,,0
2,21963,77418,0026300342,"MAR 12, 1964",CIN vs. PHL,W,0,6,13.0,,,,,4,6,0.667,,,20.0,,,,,2.0,16,,0
3,21963,77418,0026300338,"MAR 10, 1964",CIN @ DET,L,0,3,12.0,,,,,1,1,1.0,,,10.0,,,,,6.0,7,,0
4,21963,77418,0026300330,"MAR 07, 1964",CIN vs. BLT,W,0,5,9.0,,,,,2,2,1.0,,,18.0,,,,,2.0,12,,0
5,21963,77418,0026300327,"MAR 05, 1964",CIN vs. BOS,W,47,8,14.0,,,,,6,7,0.857,,,22.0,4.0,,,,6.0,22,,0
6,21963,77418,0026300322,"MAR 04, 1964",CIN @ BOS,L,48,7,14.0,,,,,6,7,0.857,,,14.0,4.0,,,,3.0,20,,0
7,21963,77418,0026300320,"MAR 03, 1964",CIN @ NYK,W,0,9,14.0,,,,,1,3,0.333,,,29.0,,,,,3.0,19,,0
8,21963,77418,0026300315,"MAR 01, 1964",CIN @ BLT,W,0,8,13.0,,,,,2,3,0.667,,,13.0,,,,,5.0,18,,0
9,21963,77418,0026300312,"FEB 29, 1964",CIN @ PHL,W,0,11,19.0,,,,,6,6,1.0,,,40.0,3.0,,,,4.0,28,,0
10,21963,77418,0026300307,"FEB 28, 1964",CIN @ PHL,W,0,8,15.0,,,,,3,4,0.75,,,28.0,,,,,3.0,19,,0
11,21963,77418,0026300304,"FEB 26, 1964",CIN @ LAL,L,0,5,12.0,0.417,,,,3,4,0.75,,,18.0,,,,,3.0,13,,0
12,21963,77418,0026300300,"FEB 25, 1964",CIN @ SFW,L,45,5,9.0,,,,,6,6,1.0,,,22.0,4.0,,,,4.0,16,,0
13,21963,77418,0026300294,"FEB 22, 1964",CIN @ LAL,W,0,7,13.0,0.538,,,,5,5,1.0,,,12.0,4.0,,,,3.0,19,,0
14,21963,77418,0026300292,"FEB 21, 1964",CIN @ SFW,W,48,3,11.0,0.273,,,,2,3,0.667,,,19.0,4.0,,,,2.0,8,,0
15,21963,77418,0026300287,"FEB 19, 1964",CIN vs. SFW,L,48,5,12.0,,,,,3,4,0.75,,,20.0,5.0,,,,3.0,13,,0
16,21963,77418,0026300279,"FEB 17, 1964",CIN vs. SFW,W,48,6,11.0,,,,,2,5,0.4,,,20.0,5.0,,,,3.0,14,,0
17,21963,77418,0026300277,"FEB 16, 1964",CIN vs. PHL,W,0,6,10.0,,,,,1,2,0.5,,,20.0,,,,,4.0,13,,0
18,21963,77418,0026300272,"FEB 15, 1964",CIN @ NYK,W,0,7,15.0,,,,,7,8,0.875,,,20.0,,,,,3.0,21,,0
19,21963,77418,0026300271,"FEB 14, 1964",CIN vs. NYK,W,0,9,14.0,,,,,5,5,1.0,,,14.0,,,,,4.0,23,,0
