,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,21985,247,0028500924,"APR 11, 1986",DET @ NYK,W,23,3,4,0.75,0,0,,5,6,0.833,0,0,0.0,2,1,0,2,2,11,,0
1,21985,247,0028500911,"APR 08, 1986",DET @ PHL,L,34,7,14,0.5,0,1,0.0,1,1,1.0,2,1,3.0,6,0,0,3,5,15,,0
2,21985,247,0028500904,"APR 07, 1986",DET vs. CLE,W,29,2,4,0.5,0,0,,2,2,1.0,1,2,3.0,7,2,0,1,4,6,,0
3,21985,247,0028500889,"APR 05, 1986",DET @ IND,W,35,3,10,0.3,0,0,,10,11,0.909,0,1,1.0,1,2,0,3,0,16,,0
4,21985,247,0028500887,"APR 04, 1986",DET vs. MIL,L,27,1,3,0.333,0,0,,1,2,0.5,0,0,0.0,8,1,0,3,5,3,,0
5,21985,247,0028500875,"APR 02, 1986",DET @ BOS,L,28,5,12,0.417,0,0,,1,2,0.5,1,2,3.0,10,2,0,5,1,11,,0
6,21985,247,0028500863,"APR 01, 1986",DET vs. IND,W,31,3,9,0.333,0,0,,7,7,1.0,1,2,3.0,7,1,0,2,3,13,,0
7,21985,247,0028500857,"MAR 29, 1986",DET @ MIL,L,28,1,5,0.2,0,0,,3,4,0.75,1,1,2.0,6,0,0,1,5,5,,0
8,21985,247,0028500848,"MAR 28, 1986",DET vs. HOU,W,29,6,8,0.75,0,0,,6,7,0.857,0,2,2.0,11,0,0,2,2,18,,0
9,21985,247,0028500829,"MAR 25, 1986",DET @ GOS,L,31,6,12,0.5,0,0,,0,0,0.0,0,0,0.0,8,3,0,2,4,12,,0
10,21985,247,0028500816,"MAR 22, 1986",DET @ LAC,W,28,1,4,0.25,0,0,,0,0,0.0,0,0,0.0,7,0,0,1,1,2,,0
11,21985,247,0028500806,"MAR 21, 1986",DET @ PHX,L,23,5,9,0.556,0,0,,4,4,1.0,0,1,1.0,7,2,0,0,1,14,,0
12,21985,247,0028500795,"MAR 19, 1986",DET @ DEN,L,25,1,4,0.25,0,0,,0,0,0.0,2,0,2.0,5,0,1,6,4,2,,0
13,21985,247,0028500782,"MAR 17, 1986",DET @ UTH,L,39,5,12,0.417,0,0,,0,0,0.0,0,1,1.0,7,1,0,4,3,10,,0
14,21985,247,0028500776,"MAR 16, 1986",DET @ POR,L,32,3,8,0.375,0,0,,0,2,0.0,0,1,1.0,6,1,0,1,3,6,,0
15,21985,247,0028500766,"MAR 14, 1986",DET vs. NYK,W,36,4,8,0.5,0,0,,1,1,1.0,1,0,1.0,7,2,0,2,3,9,,0
16,21985,247,0028500752,"MAR 12, 1986",DET vs. IND,W,25,4,7,0.571,0,0,,0,1,0.0,1,0,1.0,3,1,0,1,2,8,,0
17,21985,247,0028500740,"MAR 10, 1986",DET vs. PHX,L,35,7,12,0.583,0,0,,2,2,1.0,0,2,2.0,10,0,0,3,2,16,,0
18,21985,247,0028500718,"MAR 07, 1986",DET @ NJN,W,31,2,7,0.286,0,0,,5,6,0.833,0,3,3.0,4,2,1,0,2,9,,0
19,21985,247,0028500690,"MAR 04, 1986",DET vs. NJN,W,22,5,7,0.714,0,0,,1,2,0.5,1,0,1.0,1,0,0,2,2,11,,0
20,21985,247,0028500692,"MAR 02, 1986",DET @ BOS,L,33,6,8,0.75,0,0,,0,0,0.0,1,0,1.0,7,0,0,1,1,12,,0
21,21985,247,0028500674,"FEB 28, 1986",DET vs. ATL,W,27,2,5,0.4,0,0,,0,0,0.0,2,0,2.0,6,0,0,0,3,4,,0
