,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,21984,304,0028400938,"APR 14, 1985",UTH @ SAN,W,3,1,2,0.5,0,0,,0,0,,0,0,0,0,1.0,0,0.0,3,2,,0
1,21984,304,0028400928,"APR 12, 1985",UTH @ PHX,L,18,3,5,0.6,0,0,,0,0,,0,1,1,2,0.0,0,1.0,1,6,,0
2,21984,304,0028400922,"APR 11, 1985",UTH vs. POR,W,22,5,7,0.714,0,0,,4,7,0.571,0,2,2,11,2.0,0,1.0,4,14,,0
3,21984,304,0028400912,"APR 09, 1985",UTH vs. LAC,W,16,1,1,1.0,0,0,,1,2,0.5,0,1,1,8,0.0,0,0.0,1,3,,0
4,21984,304,0028400891,"APR 06, 1985",UTH vs. PHX,W,18,2,3,0.667,0,0,,3,3,1.0,0,2,2,7,1.0,1,2.0,3,7,,0
5,21984,304,0028400880,"APR 04, 1985",UTH vs. SEA,L,12,2,2,1.0,0,0,,0,0,,1,0,1,3,1.0,0,1.0,1,4,,0
6,21984,304,0028400853,"MAR 30, 1985",UTH @ HOU,L,30,1,2,0.5,0,0,,0,0,,0,0,0,6,1.0,0,1.0,5,2,,0
7,21984,304,0028400846,"MAR 29, 1985",UTH vs. SAN,W,13,1,1,1.0,0,0,,4,5,0.8,0,0,0,7,1.0,0,0.0,2,6,,0
8,21984,304,0028400838,"MAR 27, 1985",UTH vs. DAL,W,25,0,0,,0,0,,2,2,1.0,1,2,3,8,1.0,0,3.0,2,2,,0
9,21984,304,0028400828,"MAR 26, 1985",UTH @ DEN,L,28,3,8,0.375,0,0,,3,3,1.0,0,1,1,6,2.0,0,5.0,3,9,,0
10,21984,304,0028400817,"MAR 24, 1985",UTH vs. CHI,W,17,0,2,0.0,0,0,,1,2,0.5,1,0,1,6,1.0,0,0.0,2,1,,0
11,21984,304,0028400807,"MAR 22, 1985",UTH @ SEA,W,15,2,4,0.5,0,0,,5,7,0.714,0,1,1,6,3.0,1,1.0,3,9,,0
12,21984,304,0028400792,"MAR 20, 1985",UTH @ LAC,L,12,0,1,0.0,0,0,,0,0,,0,2,2,6,0.0,0,1.0,2,0,,0
13,21984,304,0028400783,"MAR 18, 1985",UTH vs. GOS,W,14,1,3,0.333,0,0,,0,2,0.0,1,1,2,5,1.0,0,2.0,3,2,,0
