,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,21976,76681,0027600867,"APR 10, 1977",PHL @ WAS,L,36,12,26.0,,,,,7,8,0.875,,,6.0,6.0,,,,2.0,31,,0
1,21976,76681,0027600863,"APR 09, 1977",PHL vs. WAS,W,37,16,24.0,,,,,8,8,1.0,,,11.0,8.0,6.0,,,4.0,40,,0
2,21976,76681,0027600851,"APR 08, 1977",PHL @ DET,L,36,11,18.0,,,,,10,11,0.909,,,4.0,3.0,,,,2.0,32,,0
3,21976,76681,0027600843,"APR 06, 1977",PHL @ SAN,L,29,8,20.0,,,,,1,1,1.0,,,10.0,3.0,4.0,0.0,,3.0,17,,0
4,21976,76681,0027600836,"APR 05, 1977",PHL @ NOJ,W,25,2,9.0,,,,,1,2,0.5,,,3.0,5.0,,,,2.0,5,,0
5,21976,76681,0027600833,"APR 03, 1977",PHL @ BOS,L,44,7,24.0,,,,,6,8,0.75,,,11.0,5.0,,,,0.0,20,,0
6,21976,76681,0027600816,"APR 01, 1977",PHL vs. KCK,W,44,13,25.0,,,,,6,8,0.75,,,3.0,7.0,4.0,4.0,,1.0,32,,0
7,21976,76681,0027600804,"MAR 30, 1977",PHL vs. DET,W,28,7,14.0,,,,,2,2,1.0,,,6.0,2.0,,,,2.0,16,,0
8,21976,76681,0027600796,"MAR 29, 1977",PHL @ CHI,W,41,13,19.0,,,,,2,3,0.667,,,15.0,3.0,,,,4.0,28,,0
9,21976,76681,0027600787,"MAR 27, 1977",PHL vs. POR,W,35,11,18.0,,,,,4,4,1.0,1.0,6.0,7.0,5.0,2.0,2.0,,1.0,26,,0
10,21976,76681,0027600772,"MAR 25, 1977",PHL vs. SAN,W,35,9,15.0,,,,,0,0,0.0,,,5.0,3.0,0.0,3.0,,2.0,18,,0
11,21976,76681,0027600762,"MAR 23, 1977",PHL vs. GOS,L,47,13,27.0,,,,,2,2,1.0,5.0,7.0,12.0,2.0,2.0,0.0,,3.0,28,,0
12,21976,76681,0027600751,"MAR 20, 1977",PHL @ NYN,W,37,12,22.0,,,,,0,3,0.0,,,7.0,5.0,,,,4.0,24,,0
13,21976,76681,0027600738,"MAR 18, 1977",PHL vs. HOU,W,36,8,16.0,,,,,4,5,0.8,,,3.0,1.0,1.0,2.0,,1.0,20,,0
14,21976,76681,0027600725,"MAR 16, 1977",PHL vs. ATL,W,38,8,18.0,,,,,4,4,1.0,,,5.0,4.0,,,,5.0,20,,0
15,21976,76681,0027600721,"MAR 15, 1977",PHL @ CLE,W,38,10,16.0,,,,,9,10,0.9,3.0,6.0,9.0,8.0,1.0,1.0,,1.0,29,,0
16,21976,76681,0027600713,"MAR 13, 1977",PHL vs. CHI,L,36,12,22.0,,,,,5,6,0.833,,,7.0,1.0,,0.0,,3.0,29,,0
17,21976,76681,0027600700,"MAR 11, 1977",PHL vs. SEA,W,41,9,16.0,,,,,8,11,0.727,,,8.0,2.0,2.0,,,5.0,26,,0
18,21976,76681,0027600694,"MAR 09, 1977",PHL vs. DEN,W,51,16,25.0,,,,,6,7,0.857,5.0,3.0,8.0,8.0,2.0,1.0,,5.0,38,,0
19,21976,76681,0027600691,"MAR 08, 1977",PHL @ ATL,L,33,5,13.0,,,,,2,3,0.667,,,3.0,3.0,,,,5.0,12,,0
20,21976,76681,0027600682,"MAR 06, 1977",PHL vs. NYK,L,41,6,19.0,,,,,4,6,0.667,,,7.0,4.0,,,,3.0,16,,0
21,21976,76681,0027600671,"MAR 05, 1977",PHL @ NYK,W,33,12,15.0,,,,,4,9,0.444,,,3.0,1.0,,,,5.0,28,,0
22,21976,76681,0027600663,"MAR 03, 1977",PHL @ GOS,L,41,9,16.0,,,,,7,8,0.875,3.0,5.0,8.0,7.0,4.0,2.0,,1.0,25,,0
23,21976,76681,0027600649,"MAR 01, 1977",PHL @ POR,L,36,9,19.0,,,,,5,8,0.625,3.0,8.0,11.0,6.0,3.0,0.0,,5.0,23,,0
24,21976,76681,0027600647,"FEB 27, 1977",PHL @ SEA,W,39,8,22.0,,,,,6,7,0.857,,,10.0,2.0,,1.0,,4.0,22,,0
25,21976,76681,0027600633,"FEB 25, 1977",PHL @ LAL,L,40,8,19.0,,,,,6,8,0.75,,,11.0,7.0,,,,1.0,22,,0
