,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,21980,1450,0028000937,"MAR 29, 1981",BOS vs. PHL,W,13,1,3,,0,0.0,,1,4,0.25,,,2.0,0.0,,,,4.0,3,,0
1,21980,1450,0028000928,"MAR 27, 1981",BOS vs. DET,L,35,5,11,,0,0.0,,0,0,0.0,,,5.0,0.0,,,,4.0,10,,0
2,21980,1450,0028000916,"MAR 25, 1981",BOS @ NJN,W,24,5,9,,0,,,4,5,0.8,,,11.0,0.0,,,,5.0,14,,0
3,21980,1450,0028000900,"MAR 24, 1981",BOS @ NYK,W,23,6,13,,0,,,2,2,1.0,,,7.0,0.0,,,,4.0,14,,0
4,21980,1450,0028000892,"MAR 22, 1981",BOS @ PHL,L,20,5,10,,0,0.0,,1,5,1.0,,,3.0,0.0,,2.0,,2.0,11,,0
5,21980,1450,0028000884,"MAR 20, 1981",BOS vs. WAS,W,21,3,5,,0,,,0,0,0.0,,,6.0,1.0,,,,0.0,6,,0
6,21980,1450,0028000867,"MAR 18, 1981",BOS vs. ATL,L,28,4,9,,0,0.0,,3,6,0.5,,,9.0,1.0,,2.0,3.0,5.0,11,,0
7,21980,1450,0028000865,"MAR 17, 1981",BOS @ WAS,W,12,6,8,,0,,,1,1,1.0,,,5.0,0.0,,,,3.0,13,,0
8,21980,1450,0028000850,"MAR 15, 1981",BOS vs. NJN,W,23,7,12,,0,0.0,,2,3,0.667,,,4.0,0.0,,,,3.0,16,,0
9,21980,1450,0028000841,"MAR 13, 1981",BOS vs. IND,L,19,2,9,,0,0.0,,3,6,0.5,,,2.0,0.0,,,,4.0,7,,0
10,21980,1450,0028000826,"MAR 11, 1981",BOS vs. MIL,W,21,6,10,,0,0.0,,2,4,0.5,,,5.0,1.0,0.0,1.0,2.0,3.0,14,,0
11,21980,1450,0028000816,"MAR 08, 1981",BOS vs. NYK,W,26,10,17,,0,,,3,6,0.5,,,4.0,0.0,,,,4.0,23,,0
12,21980,1450,0028000800,"MAR 06, 1981",BOS @ IND,L,28,7,12,,0,,,1,2,0.5,,,3.0,2.0,0.0,3.0,,4.0,15,,0
13,21980,1450,0028000789,"MAR 04, 1981",BOS @ HOU,W,21,5,9,,0,0.0,,0,0,0.0,,,4.0,0.0,,,,1.0,10,,0
14,21980,1450,0028000783,"MAR 03, 1981",BOS @ DAL,W,23,7,10,,0,0.0,,0,0,0.0,,,8.0,3.0,,5.0,0.0,3.0,14,,0
15,21980,1450,0028000776,"MAR 01, 1981",BOS vs. PHL,W,23,2,4,,0,0.0,,4,6,0.667,,,4.0,2.0,,1.0,,3.0,8,,0
16,21980,1450,0028000766,"FEB 27, 1981",BOS @ ATL,W,18,9,9,,0,0.0,,1,1,1.0,,,6.0,1.0,,,,2.0,19,,0
17,21980,1450,0028000751,"FEB 25, 1981",BOS vs. CLE,W,16,3,6,,0,0.0,,1,2,0.5,1.0,3.0,4.0,1.0,0.0,0.0,0.0,3.0,7,,0
