,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,22002,1938,0020201184,"APR 16, 2003",SAS vs. DAL,L,11,1,2,0.5,1,1,1.0,2,2,1.0,0,2,2,1,0,0,0,2,5,-12,0
1,22002,1938,0020201169,"APR 14, 2003",SAS @ UTA,W,33,4,8,0.5,2,5,0.4,4,4,1.0,0,1,1,2,4,0,3,1,14,1,0
2,22002,1938,0020201163,"APR 13, 2003",SAS @ PHX,L,28,6,11,0.545,4,6,0.667,0,2,0.0,0,3,3,1,2,0,3,2,16,-11,0
3,22002,1938,0020201146,"APR 11, 2003",SAS vs. SEA,W,30,4,10,0.4,1,3,0.333,6,6,1.0,3,1,4,0,1,0,1,4,15,4,0
4,22002,1938,0020201131,"APR 09, 2003",SAS vs. POR,W,27,7,11,0.636,2,6,0.333,1,2,0.5,2,3,5,3,0,0,1,4,17,10,0
5,22002,1938,0020201107,"APR 06, 2003",SAS @ DET,W,17,0,3,0.0,0,1,0.0,0,2,0.0,0,2,2,0,0,0,1,3,0,-1,0
6,22002,1938,0020201089,"APR 04, 2003",SAS @ TOR,W,26,3,5,0.6,2,3,0.667,2,2,1.0,1,2,3,2,0,0,3,3,10,15,0
7,22002,1938,0020201082,"APR 02, 2003",SAS @ MEM,W,22,2,7,0.286,1,3,0.333,2,2,1.0,1,1,2,1,1,0,2,0,7,1,0
8,22002,1938,0020201071,"APR 01, 2003",SAS vs. ORL,W,24,3,7,0.429,0,2,0.0,5,5,1.0,1,1,2,3,0,0,2,3,11,-3,0
9,22002,1938,0020201059,"MAR 30, 2003",SAS @ NOH,W,23,2,4,0.5,0,0,0.0,3,4,0.75,0,1,1,1,3,0,0,3,7,-5,0
10,22002,1938,0020201053,"MAR 29, 2003",SAS vs. UTA,W,26,1,5,0.2,0,2,0.0,3,3,1.0,2,3,5,6,1,0,1,1,5,21,0
11,22002,1938,0020201035,"MAR 27, 2003",SAS vs. HOU,W,25,3,8,0.375,1,4,0.25,2,3,0.667,0,1,1,1,3,0,1,1,9,7,0
12,22002,1938,0020201019,"MAR 25, 2003",SAS vs. MIL,W,23,2,5,0.4,0,1,0.0,0,0,0.0,1,5,6,3,3,0,2,5,4,7,0
13,22002,1938,0020201003,"MAR 23, 2003",SAS vs. LAL,W,24,5,9,0.556,0,0,0.0,4,4,1.0,0,0,0,1,2,1,1,5,14,-2,0
14,22002,1938,0020200990,"MAR 21, 2003",SAS vs. MIN,L,37,5,14,0.357,0,7,0.0,5,5,1.0,0,1,1,1,2,0,1,3,15,-11,0
15,22002,1938,0020200982,"MAR 20, 2003",SAS @ DAL,W,25,7,11,0.636,3,6,0.5,0,1,0.0,0,2,2,1,0,1,3,6,17,2,0
16,22002,1938,0020200967,"MAR 18, 2003",SAS vs. NYK,L,29,1,2,0.5,0,0,0.0,3,4,0.75,1,6,7,1,2,2,2,6,5,10,0
17,22002,1938,0020200940,"MAR 14, 2003",SAS vs. LAC,W,32,3,7,0.429,0,1,0.0,3,3,1.0,2,0,2,8,1,0,1,1,9,11,0
18,22002,1938,0020200926,"MAR 12, 2003",SAS @ MIN,W,28,4,10,0.4,4,6,0.667,5,5,1.0,0,3,3,5,2,0,2,3,17,19,0
19,22002,1938,0020200916,"MAR 11, 2003",SAS @ MIL,W,26,2,4,0.5,0,2,0.0,1,1,1.0,1,4,5,2,1,0,3,1,5,3,0
20,22002,1938,0020200902,"MAR 09, 2003",SAS @ BOS,W,23,1,4,0.25,1,3,0.333,2,4,0.5,0,1,1,4,5,0,1,1,5,9,0
21,22002,1938,0020200881,"MAR 06, 2003",SAS vs. NJN,W,33,6,11,0.545,1,2,0.5,5,5,1.0,1,5,6,7,5,0,1,3,18,18,0
22,22002,1938,0020200868,"MAR 04, 2003",SAS vs. PHX,L,33,4,10,0.4,1,4,0.25,5,5,1.0,0,2,2,2,3,0,3,5,14,-1,0
23,22002,1938,0020200855,"MAR 02, 2003",SAS @ HOU,W,28,6,7,0.857,2,3,0.667,6,6,1.0,0,2,2,4,3,0,2,0,20,2,0
24,22002,1938,0020200844,"MAR 01, 2003",SAS vs. SAC,W,29,3,4,0.75,0,1,0.0,0,2,0.0,2,3,5,5,2,0,2,2,6,9,0
25,22002,1938,0020200817,"FEB 25, 2003",SAS vs. MIA,W,16,3,4,0.75,2,2,1.0,2,4,0.5,1,3,4,1,3,0,3,2,10,13,0
26,22002,1938,0020200796,"FEB 22, 2003",SAS vs. IND,W,20,3,5,0.6,0,0,0.0,2,3,0.667,1,0,1,2,2,0,3,4,8,-1,0
27,22002,1938,0020200781,"FEB 20, 2003",SAS @ DAL,L,30,4,9,0.444,0,1,0.0,3,3,1.0,0,3,3,4,3,0,1,4,11,3,0
28,22002,1938,0020200767,"FEB 18, 2003",SAS vs. DEN,W,20,2,5,0.4,2,3,0.667,2,6,0.333,2,1,3,4,1,0,3,2,8,12,0
29,22002,1938,0020200752,"FEB 16, 2003",SAS @ SAC,W,29,6,8,0.75,2,3,0.667,1,2,0.5,5,1,6,4,1,0,3,1,15,16,0
30,22002,1938,0020200743,"FEB 14, 2003",SAS @ LAL,W,22,2,6,0.333,0,0,0.0,4,8,0.5,1,2,3,3,0,1,1,4,8,-3,0
31,22002,1938,0020200717,"FEB 11, 2003",SAS @ POR,W,20,1,4,0.25,1,4,0.25,2,2,1.0,0,2,2,1,0,2,1,4,5,5,0
32,22002,1938,0020200707,"FEB 06, 2003",SAS @ DEN,W,13,1,4,0.25,0,1,0.0,0,0,0.0,1,1,2,1,3,0,2,2,2,3,0
33,22002,1938,0020200704,"FEB 05, 2003",SAS @ GSW,W,18,0,8,0.0,0,3,0.0,2,2,1.0,0,0,0,1,2,1,0,3,2,1,0
34,22002,1938,0020200671,"FEB 01, 2003",SAS @ MIA,W,23,1,6,0.167,1,3,0.333,0,0,0.0,0,2,2,1,0,0,0,3,3,9,0
35,22002,1938,0020200661,"JAN 31, 2003",SAS @ ORL,W,27,4,8,0.5,2,5,0.4,4,4,1.0,1,2,3,2,0,1,1,4,14,6,0
36,22002,1938,0020200645,"JAN 29, 2003",SAS @ IND,W,26,5,10,0.5,0,2,0.0,0,0,0.0,1,0,1,3,2,1,1,2,10,15,0
37,22002,1938,0020200633,"JAN 27, 2003",SAS @ MIN,L,23,3,6,0.5,1,2,0.5,1,1,1.0,0,4,4,3,1,1,1,3,8,-10,0
38,22002,1938,0020200622,"JAN 25, 2003",SAS vs. DET,W,26,2,5,0.4,0,0,0.0,2,3,0.667,1,3,4,2,2,0,1,1,6,5,0
39,22002,1938,0020200615,"JAN 24, 2003",SAS @ UTA,W,14,3,5,0.6,2,2,1.0,0,0,0.0,0,0,0,2,1,0,0,3,8,2,0
40,22002,1938,0020200599,"JAN 22, 2003",SAS vs. MEM,L,17,1,5,0.2,0,3,0.0,3,5,0.6,0,0,0,0,2,0,3,3,5,8,0
41,22002,1938,0020200581,"JAN 20, 2003",SAS vs. HOU,W,13,2,4,0.5,1,2,0.5,0,0,0.0,1,0,1,1,0,0,0,1,5,-7,0
42,22002,1938,0020200560,"JAN 17, 2003",SAS vs. ATL,W,19,4,8,0.5,1,3,0.333,4,4,1.0,0,1,1,2,1,0,0,2,13,3,0
43,22002,1938,0020200541,"JAN 14, 2003",SAS vs. PHX,W,11,0,3,0.0,0,1,0.0,0,0,0.0,1,0,1,1,0,0,1,1,0,-2,0
44,22002,1938,0020200526,"JAN 12, 2003",SAS vs. BOS,W,15,1,3,0.333,0,1,0.0,1,2,0.5,2,2,4,1,1,1,0,3,3,-13,0
45,22002,1938,0020200503,"JAN 09, 2003",SAS @ POR,L,13,1,3,0.333,0,1,0.0,0,0,0.0,1,3,4,5,3,0,2,4,2,2,0
46,22002,1938,0020200500,"JAN 08, 2003",SAS @ SEA,W,10,1,2,0.5,0,0,0.0,2,2,1.0,0,0,0,0,1,0,1,1,4,-9,0
47,22002,1938,0020200473,"JAN 05, 2003",SAS @ LAC,W,15,2,2,1.0,0,0,0.0,0,0,0.0,1,1,2,2,0,1,0,2,4,4,0
48,22002,1938,0020200444,"DEC 31, 2002",SAS @ WAS,L,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
49,22002,1938,0020200433,"DEC 30, 2002",SAS @ NYK,L,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,5,0
50,22002,1938,0020200252,"DEC 03, 2002",SAS @ HOU,L,10,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,1,2,1,0,-7,0
