,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,21978,76385,0027800895,"APR 08, 1979",PHL vs. DEN,W,21,2,2.0,,,,,0,0,0.0,0.0,3.0,3.0,5.0,4.0,0.0,0.0,2.0,4,,0
1,21978,76385,0027800887,"APR 06, 1979",PHL @ IND,L,22,3,10.0,,,,,3,3,1.0,,,2.0,0.0,,0.0,,1.0,9,,0
2,21978,76385,0027800875,"APR 04, 1979",PHL vs. HOU,W,28,7,11.0,,,,,0,0,0.0,,,2.0,2.0,,,,2.0,14,,0
3,21978,76385,0027800861,"APR 01, 1979",PHL vs. LAL,W,29,6,12.0,,,,,0,0,0.0,,,2.0,5.0,,0.0,,2.0,12,,0
4,21978,76385,0027800849,"MAR 30, 1979",PHL vs. CLE,W,36,6,7.0,,,,,3,5,0.6,1.0,4.0,5.0,8.0,4.0,0.0,5.0,2.0,15,,0
5,21978,76385,0027800837,"MAR 28, 1979",PHL vs. CHI,W,35,3,7.0,,,,,0,0,0.0,,,6.0,12.0,,0.0,,5.0,6,,0
6,21978,76385,0027800824,"MAR 27, 1979",PHL @ WAS,W,29,5,9.0,,,,,0,0,0.0,,,7.0,6.0,,,,1.0,10,,0
7,21978,76385,0027800822,"MAR 25, 1979",PHL @ BOS,L,26,6,10.0,,,,,1,1,1.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,13,,0
8,21978,76385,0027800805,"MAR 23, 1979",PHL vs. NJN,W,26,3,7.0,,,,,0,0,0.0,,,5.0,6.0,,,,3.0,6,,0
9,21978,76385,0027800797,"MAR 21, 1979",PHL @ HOU,W,35,8,10.0,,,,,3,5,0.6,,,6.0,5.0,,2.0,,1.0,19,,0
10,21978,76385,0027800787,"MAR 20, 1979",PHL @ SAN,W,26,1,2.0,,,,,0,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,,2.0,2,,0
11,21978,76385,0027800782,"MAR 18, 1979",PHL vs. NYK,W,34,2,4.0,,,,,0,0,0.0,,,3.0,5.0,,,,1.0,4,,0
12,21978,76385,0027800773,"MAR 17, 1979",PHL @ NYK,L,35,4,8.0,,,,,0,0,0.0,,,2.0,5.0,,,,2.0,8,,0
13,21978,76385,0027800765,"MAR 16, 1979",PHL vs. IND,W,35,2,6.0,,,,,0,0,0.0,,,2.0,8.0,,0.0,,1.0,4,,0
14,21978,76385,0027800754,"MAR 14, 1979",PHL vs. SEA,L,36,6,12.0,,,,,3,3,1.0,2.0,2.0,4.0,9.0,,,,2.0,15,,0
15,21978,76385,0027800737,"MAR 11, 1979",PHL @ NJN,L,7,0,2.0,0.0,,,,0,0,,,,1.0,1.0,,,,2.0,0,,0
16,21978,76385,0027800732,"MAR 09, 1979",PHL @ MIL,L,7,0,2.0,,,,,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,1.0,0,,0
17,21978,76385,0027800721,"MAR 07, 1979",PHL vs. BOS,W,36,8,14.0,,,,,2,2,1.0,1.0,2.0,3.0,3.0,4.0,0.0,2.0,2.0,18,,0
18,21978,76385,0027800717,"MAR 06, 1979",PHL @ ATL,L,29,4,8.0,,,,,2,3,0.667,,,3.0,4.0,,0.0,3.0,3.0,10,,0
19,21978,76385,0027800708,"MAR 04, 1979",PHL @ PHX,L,28,1,2.0,,,,,0,0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,4.0,1.0,2,,0
20,21978,76385,0027800702,"MAR 02, 1979",PHL @ LAL,L,24,2,3.0,,,,,0,0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,2.0,2.0,4,,0
