,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,21976,77449,0027600860,"APR 09, 1977",HOU vs. DEN,L,45,6,15.0,,,,,10,12,0.833,8.0,13.0,21.0,3.0,3.0,1.0,,4.0,22,,0
1,21976,77449,0027600853,"APR 08, 1977",HOU @ CHI,L,0,6,12.0,,,,,13,19,0.684,,,20.0,,,2.0,,4.0,25,,0
2,21976,77449,0027600847,"APR 06, 1977",HOU @ BOS,W,39,4,12.0,,,,,11,12,0.917,,,17.0,1.0,,,,4.0,19,,0
3,21976,77449,0027600825,"APR 02, 1977",HOU vs. CLE,W,37,5,8.0,,,,,4,6,0.667,3.0,9.0,12.0,1.0,3.0,1.0,,4.0,14,,0
4,21976,77449,0027600821,"APR 01, 1977",HOU @ WAS,W,45,8,19.0,,,,,4,5,0.8,12.0,15.0,27.0,0.0,,,,1.0,20,,0
5,21976,77449,0027600805,"MAR 30, 1977",HOU @ SEA,L,35,5,9.0,,,,,15,20,0.75,,,9.0,3.0,,,,3.0,25,,0
6,21976,77449,0027600801,"MAR 29, 1977",HOU @ GOS,L,18,2,5.0,,,,,2,2,1.0,6.0,3.0,9.0,0.0,0.0,0.0,,0.0,6,,0
7,21976,77449,0027600790,"MAR 27, 1977",HOU @ DET,L,30,5,11.0,,,,,7,9,0.778,,,7.0,0.0,,,,3.0,17,,0
8,21976,77449,0027600783,"MAR 26, 1977",HOU vs. KCK,W,46,3,11.0,,,,,7,9,0.778,,,22.0,1.0,1.0,3.0,,3.0,13,,0
9,21976,77449,0027600769,"MAR 24, 1977",HOU @ SAN,L,34,4,7.0,,,,,3,4,0.75,,,16.0,2.0,2.0,1.0,,6.0,11,,0
10,21976,77449,0027600763,"MAR 23, 1977",HOU vs. POR,W,35,6,16.0,,,,,11,13,0.846,9.0,6.0,15.0,0.0,0.0,2.0,,5.0,23,,0
11,21976,77449,0027600757,"MAR 22, 1977",HOU vs. IND,W,40,3,6.0,,,,,4,5,0.8,,,15.0,1.0,1.0,2.0,,5.0,10,,0
12,21976,77449,0027600743,"MAR 19, 1977",HOU vs. BUF,W,44,8,,,,,,6,8,0.75,,,15.0,1.0,2.0,3.0,,,22,,0
13,21976,77449,0027600738,"MAR 18, 1977",HOU @ PHL,L,27,4,10.0,,,,,2,2,1.0,,,13.0,0.0,1.0,3.0,,5.0,10,,0
14,21976,77449,0027603028,"MAR 17, 1977",HOU @ CLE,W,41,4,13.0,,,,,7,8,0.875,11.0,13.0,24.0,3.0,0.0,0.0,,3.0,15,,0
15,21976,77449,0027600730,"MAR 16, 1977",HOU vs. NYN,W,31,1,2.0,,,,,3,6,0.5,,,11.0,1.0,1.0,2.0,,4.0,5,,0
16,21976,77449,0027600708,"MAR 12, 1977",HOU vs. NOJ,W,34,7,12.0,,,,,5,10,0.5,,,14.0,0.0,0.0,2.0,,3.0,19,,0
17,21976,77449,0027600702,"MAR 11, 1977",HOU @ IND,W,38,9,19.0,,,,,7,8,0.875,14.0,7.0,21.0,3.0,0.0,3.0,,1.0,25,,0
