,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,21963,600001,0026300360,"MAR 18, 1964",SFW vs. PHL,W,22,0,1.0,,,,,4,7,0.571,,,11.0,0.0,,,,4.0,4,,0
1,21963,600001,0026300354,"MAR 16, 1964",SFW vs. PHL,L,0,3,7.0,,,,,2,2,1.0,,,8.0,1.0,,,,3.0,8,,0
2,21963,600001,0026300349,"MAR 14, 1964",SFW @ LAL,W,27,0,3.0,,,,,2,2,1.0,,,16.0,0.0,,,,3.0,2,,0
3,21963,600001,0026300345,"MAR 13, 1964",SFW vs. LAL,L,37,5,8.0,0.625,,,,2,5,0.4,,,16.0,1.0,,,,2.0,12,,0
4,21963,600001,0026300343,"MAR 12, 1964",SFW vs. BLT,W,19,5,8.0,,,,,2,3,0.667,,,16.0,2.0,,,,4.0,12,,0
5,21963,600001,0026300336,"MAR 10, 1964",SFW vs. BLT,W,26,5,12.0,,,,,1,3,0.333,,,15.0,3.0,,,,4.0,11,,0
6,21963,600001,0026300328,"MAR 07, 1964",SFW @ LAL,W,32,7,8.0,0.875,,,,1,4,0.25,,,15.0,1.0,,,,4.0,15,,0
7,21963,600001,0026300326,"MAR 05, 1964",SFW vs. STL,L,21,3,8.0,,,,,0,0,0.0,,,9.0,2.0,,,,4.0,6,,0
8,21963,600001,0026300306,"FEB 27, 1964",SFW @ STL,W,15,2,3.0,,,,,0,0,0.0,,,3.0,0.0,,,,3.0,4,,0
9,21963,600001,0026300300,"FEB 25, 1964",SFW vs. CIN,W,30,1,6.0,,,,,0,0,0.0,,,15.0,1.0,,,,3.0,2,,0
10,21963,600001,0026300296,"FEB 23, 1964",SFW vs. LAL,W,25,3,4.0,,,,,0,0,0.0,,,9.0,2.0,,,,6.0,6,,0
11,21963,600001,0026300292,"FEB 21, 1964",SFW vs. CIN,L,34,2,9.0,0.222,,,,4,6,0.667,,,17.0,1.0,,,,3.0,8,,0
12,21963,600001,0026300287,"FEB 19, 1964",SFW @ CIN,W,25,0,3.0,,,,,0,0,0.0,,,6.0,3.0,,,,4.0,0,,0
13,21963,600001,0026300282,"FEB 18, 1964",SFW @ DET,W,29,2,9.0,,,,,1,1,1.0,,,11.0,1.0,,,,2.0,5,,0
14,21963,600001,0026300279,"FEB 17, 1964",SFW @ CIN,L,22,0,3.0,0.0,,,,0,0,,,,5.0,1.0,,,,1.0,0,,0
15,21963,600001,0026300275,"FEB 15, 1964",SFW vs. BOS,L,28,1,5.0,0.2,,,,0,3,0.0,,,11.0,1.0,,,,1.0,2,,0
16,21963,600001,0026300269,"FEB 13, 1964",SFW vs. BOS,W,28,2,4.0,,,,,0,0,0.0,,,17.0,0.0,,,,3.0,4,,0
17,21963,600001,0026300263,"FEB 11, 1964",SFW @ DET,W,28,1,5.0,,,,,0,0,0.0,,,10.0,0.0,,,,1.0,2,,0
18,21963,600001,0026300259,"FEB 09, 1964",SFW @ STL,L,18,4,4.0,,,,,1,3,0.333,,,4.0,0.0,,,,2.0,9,,0
19,21963,600001,0026300258,"FEB 08, 1964",SFW @ STL,W,19,1,3.0,,,,,0,0,0.0,,,4.0,0.0,,,,4.0,2,,0
20,21963,600001,0026300250,"FEB 06, 1964",SFW vs. DET,W,21,1,4.0,,,,,2,2,1.0,,,8.0,0.0,,,,4.0,4,,0
21,21963,600001,0026300246,"FEB 04, 1964",SFW vs. DET,W,31,4,11.0,,,,,1,2,0.5,,,17.0,1.0,,,,2.0,9,,0
22,21963,600001,0026300240,"FEB 02, 1964",SFW @ BLT,W,14,2,3.0,,,,,0,0,0.0,,,1.0,0.0,,,,4.0,4,,0
23,21963,600001,0026300238,"FEB 01, 1964",SFW @ NYK,W,35,6,15.0,,,,,2,5,0.4,,,12.0,1.0,,,,1.0,14,,0
24,21963,600001,0026300232,"JAN 30, 1964",SFW @ DET,L,31,2,7.0,,,,,3,6,0.5,,,8.0,1.0,,,,4.0,7,,0
25,21963,600001,0026300230,"JAN 29, 1964",SFW @ BOS,W,34,1,9.0,,,,,3,3,1.0,,,14.0,0.0,,,,1.0,5,,0
26,21963,600001,0026300226,"JAN 28, 1964",SFW @ PHL,W,27,5,9.0,,,,,1,1,1.0,,,13.0,0.0,,,,4.0,11,,0
27,21963,600001,0026300224,"JAN 26, 1964",SFW @ LAL,L,30,2,7.0,,,,,2,4,0.5,,,14.0,0.0,,,,5.0,6,,0
28,21963,600001,0026300220,"JAN 25, 1964",SFW vs. LAL,W,23,3,4.0,,,,,3,3,1.0,,,7.0,1.0,,,,4.0,9,,0
29,21963,600001,0026300215,"JAN 24, 1964",SFW @ LAL,L,26,0,2.0,0.0,,,,0,4,0.0,,,7.0,2.0,,,,1.0,0,,0
