,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,21960,600015,0026000315,"MAR 12, 1961",CIN @ LAL,L,0,13,23.0,,,,,12,14,,,,10.0,8.0,,,,3.0,38,,0
1,21960,600015,0026000312,"MAR 11, 1961",CIN @ LAL,W,48,7,19.0,,,,,8,10,0.8,,,9.0,13.0,,,,6.0,22,,0
2,21960,600015,0026000302,"MAR 07, 1961",CIN @ BOS,L,0,12,31.0,,,,,8,10,,,,18.0,9.0,,,,4.0,32,,0
3,21960,600015,0026000299,"MAR 05, 1961",CIN @ NYK,W,42,9,16.0,,,,,9,10,,,,14.0,10.0,,,,1.0,27,,0
4,21960,600015,0026000288,"MAR 01, 1961",CIN vs. DET,W,47,11,27.0,,,,,15,17,0.882,,,9.0,18.0,,,,3.0,37,,0
5,21960,600015,0026000286,"FEB 28, 1961",CIN vs. STL,W,31,7,14.0,0.5,,,,2,2,1.0,,,8.0,12.0,,,,2.0,16,,0
6,21960,600015,0026000279,"FEB 26, 1961",CIN vs. STL,L,32,4,,,,,,4,5,0.8,,,2.0,5.0,,,,2.0,12,,0
7,21960,600015,0026000277,"FEB 25, 1961",CIN vs. PHW,L,48,14,22.0,0.636,,,,11,13,0.846,,,11.0,14.0,,,,4.0,39,,0
8,21960,600015,0026000270,"FEB 22, 1961",CIN @ PHW,L,48,12,26.0,0.462,,,,15,16,0.938,,,15.0,18.0,,,,5.0,39,,0
9,21960,600015,0026000268,"FEB 21, 1961",CIN @ STL,L,47,11,20.0,0.55,,,,14,16,0.875,,,12.0,13.0,,,,4.0,36,,0
10,21960,600015,0026000263,"FEB 19, 1961",CIN vs. LAL,W,0,15,,,,,,13,15,0.867,,,9.0,20.0,,,,5.0,43,,0
11,21960,600015,0026000256,"FEB 16, 1961",CIN vs. STL,W,40,11,17.0,,,,,9,13,,,,12.0,8.0,,,,2.0,31,,0
12,21960,600015,0026000249,"FEB 13, 1961",CIN vs. LAL,W,0,15,30.0,,,,,10,12,0.833,,,10.0,11.0,,,,2.0,40,,0
13,21960,600015,0026000247,"FEB 12, 1961",CIN @ NYK,W,0,11,24.0,,,,,10,14,0.714,,,11.0,9.0,,,,5.0,32,,0
14,21960,600015,0026000242,"FEB 11, 1961",CIN @ STL,L,0,13,26.0,0.5,,,,12,17,0.706,,,15.0,,,,,2.0,38,,0
