,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,21950,76056,0025000352,"MAR 17, 1951",PHW vs. SYR,W,0,6,,,,,,9,11,0.818,,,,,,,,,21,,0
1,21950,76056,0025000346,"MAR 15, 1951",PHW vs. FTW,W,0,6,17.0,,,,,2,4,0.5,,,11.0,2.0,,,,6.0,14,,0
2,21950,76056,0025000336,"MAR 11, 1951",PHW @ SYR,W,0,9,,,,,,2,2,1.0,,,,,,,,,20,,0
3,21950,76056,0025000333,"MAR 08, 1951",PHW vs. BAL,W,0,1,,,,,,7,9,0.778,,,,,,,,,9,,0
4,21950,76056,0025000330,"MAR 07, 1951",PHW @ BAL,W,0,8,14.0,,,,,4,4,1.0,,,,,,,,,20,,0
5,21950,76056,0025000326,"MAR 06, 1951",PHW vs. NYK,W,0,3,,,,,,2,2,1.0,,,,,,,,5.0,8,,0
6,21950,76056,0025000322,"MAR 04, 1951",PHW @ SYR,L,0,8,12.0,,,,,5,7,0.714,,,6.0,3.0,,,,3.0,21,,0
7,21950,76056,0025000315,"MAR 01, 1951",PHW vs. MNL,W,0,9,,,,,,4,5,0.8,,,14.0,,,,,,22,,0
8,21950,76056,0025000310,"FEB 27, 1951",PHW vs. SYR,W,0,3,,,,,,3,4,0.75,,,,,,,,,9,,0
9,21950,76056,0025000304,"FEB 25, 1951",PHW @ BOS,L,0,8,,,,,,4,5,0.8,,,,,,,,,20,,0
10,21950,76056,0025000301,"FEB 24, 1951",PHW @ NYK,W,0,4,13.0,0.308,,,,6,6,1.0,,,,1.0,,,,3.0,14,,0
11,21950,76056,0025000296,"FEB 22, 1951",PHW vs. ROC,W,0,8,,,,,,9,11,0.818,,,,,,,,,25,,0
12,21950,76056,0025000293,"FEB 21, 1951",PHW @ BAL,W,0,2,,,,,,6,7,0.857,,,,,,,,,10,,0
13,21950,76056,0025000291,"FEB 20, 1951",PHW vs. TCB,W,0,5,,,,,,5,5,1.0,,,,,,,,,15,,0
14,21950,76056,0025000288,"FEB 18, 1951",PHW @ FTW,L,0,3,,,,,,3,5,0.6,,,,,,,,,9,,0
15,21950,76056,0025000280,"FEB 16, 1951",PHW @ BOS,L,0,5,,,,,,4,6,0.667,,,,,,,,,14,,0
16,21950,76056,0025000277,"FEB 15, 1951",PHW vs. NYK,L,0,9,,,,,,8,8,1.0,,,10.0,,,,,5.0,26,,0
17,21950,76056,0025000271,"FEB 13, 1951",PHW vs. BOS,W,0,7,,,,,,10,10,1.0,,,21.0,,,,,,24,,0
18,21950,76056,0025000269,"FEB 11, 1951",PHW @ TCB,L,0,4,,,,,,9,10,0.9,,,,,,,,,17,,0
19,21950,76056,0025000263,"FEB 10, 1951",PHW @ INO,W,0,9,,,,,,6,7,0.857,,,,,,,,,24,,0
20,21950,76056,0025000259,"FEB 08, 1951",PHW vs. BAL,W,0,4,9.0,,,,,7,7,1.0,,,12.0,2.0,,,,2.0,15,,0
21,21950,76056,0025000251,"FEB 04, 1951",PHW @ SYR,L,0,5,,,,,,2,3,0.667,,,,,,,,,12,,0
22,21950,76056,0025000246,"FEB 03, 1951",PHW @ ROC,L,0,8,,,,,,5,5,1.0,,,,,,,,,21,,0
23,21950,76056,0025000242,"FEB 01, 1951",PHW vs. BOS,W,0,4,,,,,,10,12,0.833,,,,,,,,,18,,0
24,21950,76056,0025000236,"JAN 31, 1951",PHW @ FTW,L,0,6,,,,,,6,9,0.667,,,,,,,,,18,,0
25,21950,76056,0025000227,"JAN 27, 1951",PHW @ TCB,W,0,1,,,,,,4,7,0.571,,,,,,,,,6,,0
26,21950,76056,0025000225,"JAN 26, 1951",PHW @ INO,L,0,4,,,,,,10,15,0.667,,,,,,,,,18,,0
27,21950,76056,0025000224,"JAN 25, 1951",PHW vs. MNL,L,0,6,,,,,,2,2,1.0,,,,,,,,,14,,0
28,21950,76056,0025000219,"JAN 23, 1951",PHW vs. TCB,W,0,3,,,,,,7,17,0.412,,,,,,,,,13,,0
29,21950,76056,0025000213,"JAN 21, 1951",PHW @ SYR,W,0,3,,,,,,5,6,0.833,,,,,,,,,11,,0
30,21950,76056,0025000208,"JAN 20, 1951",PHW @ ROC,W,0,9,,,,,,8,12,0.667,,,,,,,,,26,,0
31,21950,76056,0025000206,"JAN 18, 1951",PHW vs. INO,W,0,8,,,,,,10,12,0.833,,,,,,,,,26,,0
32,21950,76056,0025000199,"JAN 14, 1951",PHW @ BOS,L,0,4,,,,,,8,12,0.667,,,,,,,,,16,,0
33,21950,76056,0025000193,"JAN 13, 1951",PHW vs. BOS,L,0,4,12.0,,,,,7,10,0.7,,,10.0,1.0,,,,3.0,15,,0
34,21950,76056,0025000190,"JAN 11, 1951",PHW vs. ROC,W,0,6,,,,,,8,9,0.889,,,,,,,,,20,,0
35,21950,76056,0025000183,"JAN 09, 1951",PHW @ WAS,W,0,5,,,,,,11,11,1.0,,,,,,,,,21,,0
36,21950,76056,0025000177,"JAN 06, 1951",PHW @ BAL,L,0,1,6.0,,,,,3,4,0.75,,,8.0,2.0,,,,4.0,5,,0
37,21950,76056,0025000172,"JAN 04, 1951",PHW vs. BAL,W,0,1,,,,,,1,2,0.5,,,,,,,,,3,,0
38,21950,76056,0025000166,"JAN 02, 1951",PHW @ INO,W,0,6,,,,,,11,11,1.0,,,,,,,,,23,,0
39,21950,76056,0025000161,"JAN 01, 1951",PHW @ TCB,L,0,4,,,,,,11,14,0.786,,,,,,,,,19,,0
40,21950,76056,0025000160,"DEC 31, 1950",PHW @ MNL,L,0,7,19.0,0.368,,,,6,9,0.667,,,,,,,,2.0,20,,0
41,21950,76056,0025000151,"DEC 28, 1950",PHW vs. SYR,W,0,4,,,,,,7,7,1.0,,,,,,,,,15,,0
42,21950,76056,0025000148,"DEC 27, 1950",PHW vs. NYK,L,0,7,,,,,,2,3,0.667,,,,,,,,5.0,16,,0
43,21950,76056,0025000141,"DEC 25, 1950",PHW vs. NYK,L,0,6,,,,,,12,12,1.0,,,,,,,,3.0,24,,0
44,21950,76056,0025000138,"DEC 23, 1950",PHW @ NYK,L,0,6,18.0,,,,,10,12,0.833,,,,2.0,,,,4.0,22,,0
45,21950,76056,0025000132,"DEC 19, 1950",PHW vs. MNL,W,0,3,,,,,,4,5,0.8,,,,,,,,,10,,0
46,21950,76056,0025000121,"DEC 16, 1950",PHW @ WAS,W,0,6,,,,,,9,9,1.0,,,,,,,,,21,,0
47,21950,76056,0025000118,"DEC 14, 1950",PHW vs. FTW,W,0,6,7.0,,,,,4,5,0.8,,,10.0,1.0,,,,6.0,16,,0
48,21950,76056,0025000111,"DEC 12, 1950",PHW vs. NYK,W,0,5,,,,,,7,9,0.778,,,,,,,,5.0,17,,0
49,21950,76056,0025000107,"DEC 10, 1950",PHW @ ROC,L,0,6,,,,,,7,11,0.636,,,,,,,,4.0,19,,0
50,21950,76056,0025000105,"DEC 09, 1950",PHW @ BAL,L,0,3,15.0,,,,,3,6,0.5,,,,,,,,,9,,0
51,21950,76056,0025000100,"DEC 07, 1950",PHW vs. INO,W,0,8,,,,,,10,10,1.0,,,,,,,,,26,,0
52,21950,76056,0025000096,"DEC 06, 1950",PHW @ FTW,L,0,3,,,,,,10,10,1.0,,,,,,,,,16,,0
53,21950,76056,0025000091,"DEC 03, 1950",PHW @ MNL,L,0,7,,,,,,11,14,0.786,,,,,,,,,25,,0
54,21950,76056,0025000083,"NOV 30, 1950",PHW vs. SYR,W,0,8,,,,,,12,15,0.8,,,,,,,,,28,,0
55,21950,76056,0025000076,"NOV 28, 1950",PHW vs. BOS,W,0,8,20.0,,,,,7,9,0.778,,,,3.0,,,,4.0,23,,0
56,21950,76056,0025000065,"NOV 23, 1950",PHW vs. ROC,W,0,6,,,,,,7,9,0.778,,,,,,,,4.0,19,,0
57,21950,76056,0025000057,"NOV 21, 1950",PHW vs. WAS,W,0,7,,,,,,2,7,0.286,,,,,,,,,16,,0
58,21950,76056,0025000045,"NOV 18, 1950",PHW @ NYK,L,0,2,9.0,,,,,8,11,0.727,,,,3.0,,,,6.0,12,,0
59,21950,76056,0025000044,"NOV 16, 1950",PHW vs. INO,W,0,8,,,,,,4,5,0.8,,,,,,,,,20,,0
60,21950,76056,0025000039,"NOV 15, 1950",PHW @ BAL,L,0,3,,,,,,6,6,1.0,,,,,,,,,12,,0
61,21950,76056,0025000036,"NOV 14, 1950",PHW vs. BAL,W,0,8,14.0,,,,,8,10,0.8,,,,,,,,,24,,0
62,21950,76056,0025000032,"NOV 12, 1950",PHW @ MNL,L,0,4,,,,,,5,7,0.714,,,11.0,,,,,4.0,13,,0
63,21950,76056,0025000022,"NOV 09, 1950",PHW vs. FTW,W,0,9,,,,,,8,10,0.8,,,,,,,,2.0,26,,0
64,21950,76056,0025000013,"NOV 04, 1950",PHW vs. BOS,W,0,3,14.0,,,,,4,7,0.571,,,,1.0,,,,4.0,10,,0
0,21951,76056,0025100332,"MAR 16, 1952",PHW @ BOS,L,37,7,21.0,,,,,7,9,0.778,,,,0.0,,,,3.0,21,,0
