,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,21970,77459,0027000686,"MAR 20, 1971",ATL @ CHI,L,30,11,17.0,,,,,4,4,1.0,,,8.0,5.0,,,,2.0,26,,0
1,21970,77459,0027000681,"MAR 19, 1971",ATL vs. CHI,W,0,10,,,,,,2,5,0.4,,,,,,,,,22,,0
2,21970,77459,0027000666,"MAR 16, 1971",ATL @ PHL,W,34,8,18.0,,,,,12,15,0.8,,,7.0,4.0,,,,4.0,28,,0
3,21970,77459,0027000660,"MAR 14, 1971",ATL vs. PHL,W,43,8,21.0,,,,,9,14,0.643,,,7.0,6.0,,,,3.0,25,,0
4,21970,77459,0027000653,"MAR 13, 1971",ATL @ CIN,L,0,18,27.0,,,,,8,10,0.8,,,3.0,,,,,5.0,44,,0
5,21970,77459,0027000650,"MAR 12, 1971",ATL @ CLE,W,41,13,22.0,,,,,2,2,1.0,,,5.0,6.0,,,,1.0,28,,0
6,21970,77459,0027000643,"MAR 10, 1971",ATL vs. PHX,W,35,13,22.0,,,,,11,13,0.846,,,2.0,9.0,,,,1.0,37,,0
7,21970,77459,0027000629,"MAR 07, 1971",ATL vs. CIN,W,42,12,23.0,,,,,6,8,0.75,,,6.0,10.0,,,,3.0,30,,0
8,21970,77459,0027000617,"MAR 05, 1971",ATL @ LAL,W,37,11,20.0,,,,,2,4,0.5,,,2.0,3.0,,,,3.0,24,,0
9,21970,77459,0027000613,"MAR 03, 1971",ATL @ SFW,W,39,14,27.0,,,,,5,5,1.0,,,6.0,5.0,,,,2.0,33,,0
10,21970,77459,0027000606,"MAR 02, 1971",ATL @ SEA,W,40,13,25.0,,,,,4,5,0.8,,,3.0,4.0,,,,5.0,30,,0
11,21970,77459,0027000599,"FEB 28, 1971",ATL vs. DET,L,42,12,21.0,,,,,6,8,0.75,,,2.0,5.0,,,,2.0,30,,0
12,21970,77459,0027000595,"FEB 27, 1971",ATL vs. BUF,W,41,9,17.0,,,,,4,6,0.667,,,2.0,4.0,,,,5.0,22,,0
13,21970,77459,0027000586,"FEB 26, 1971",ATL @ BOS,L,44,6,17.0,,,,,13,14,0.929,,,11.0,6.0,,,,2.0,25,,0
14,21970,77459,0027000584,"FEB 24, 1971",ATL vs. POR,W,42,9,22.0,,,,,10,12,0.833,,,5.0,8.0,,,,2.0,28,,0
15,21970,77459,0027000569,"FEB 21, 1971",ATL vs. BLT,L,43,11,25.0,,,,,6,10,0.6,,,4.0,9.0,,,,1.0,28,,0
16,21970,77459,0027000562,"FEB 20, 1971",ATL @ BLT,W,46,11,22.0,,,,,9,10,0.9,,,5.0,5.0,,,,3.0,31,,0
17,21970,77459,0027000543,"FEB 16, 1971",ATL @ CHI,L,29,3,8.0,,,,,2,2,1.0,,,0.0,6.0,,,,1.0,8,,0
18,21970,77459,0027000536,"FEB 14, 1971",ATL vs. MIL,L,32,7,17.0,,,,,1,1,1.0,,,4.0,3.0,,,,1.0,15,,0
19,21970,77459,0027000525,"FEB 12, 1971",ATL vs. NYK,W,42,14,21.0,,,,,3,3,1.0,,,5.0,4.0,,,,2.0,31,,0
20,21970,77459,0027000517,"FEB 10, 1971",ATL vs. BOS,W,38,9,20.0,,,,,10,12,0.833,,,11.0,3.0,,,,2.0,28,,0
21,21970,77459,0027003010,"FEB 09, 1971",ATL @ NYK,W,42,10,19.0,,,,,7,8,0.875,,,4.0,6.0,,,,5.0,27,,0
22,21970,77459,0027000505,"FEB 07, 1971",ATL vs. CIN,W,33,9,19.0,,,,,6,7,0.857,,,2.0,3.0,,,,3.0,24,,0
23,21970,77459,0027000495,"FEB 05, 1971",ATL @ SEA,W,39,5,14.0,,,,,2,4,0.5,,,1.0,1.0,,,,2.0,12,,0
24,21970,77459,0027000489,"FEB 04, 1971",ATL @ POR,L,35,6,18.0,,,,,1,1,1.0,,,4.0,4.0,,,,3.0,13,,0
25,21970,77459,0027000479,"FEB 02, 1971",ATL @ SFW,L,41,12,28.0,,,,,3,4,0.75,,,12.0,4.0,,,,3.0,27,,0
26,21970,77459,0027000768,"JAN 31, 1971",ATL vs. SDR,W,36,6,12.0,,,,,1,2,0.5,,,3.0,4.0,,,,1.0,13,,0
27,21970,77459,0027000463,"JAN 29, 1971",ATL vs. CLE,W,46,15,22.0,,,,,8,9,0.889,,,2.0,7.0,,,,2.0,38,,0
28,21970,77459,0027000452,"JAN 27, 1971",ATL vs. NYK,L,24,6,14.0,,,,,1,1,1.0,,,3.0,2.0,,,,4.0,13,,0
29,21970,77459,0027000448,"JAN 26, 1971",ATL @ PHL,L,46,13,25.0,,,,,8,10,0.8,,,4.0,3.0,,,,3.0,34,,0
30,21970,77459,0027000437,"JAN 24, 1971",ATL vs. MIL,L,41,13,24.0,,,,,4,5,0.8,,,1.0,8.0,,,,2.0,30,,0
31,21970,77459,0027000426,"JAN 22, 1971",ATL @ MIL,W,39,8,24.0,,,,,6,6,1.0,,,5.0,2.0,,,,3.0,22,,0
32,21970,77459,0027000420,"JAN 20, 1971",ATL vs. SEA,L,40,8,24.0,,,,,3,4,0.75,,,2.0,2.0,,,,5.0,19,,0
33,21970,77459,0027000411,"JAN 18, 1971",ATL @ BUF,W,43,13,25.0,,,,,15,19,0.789,,,2.0,4.0,,,,3.0,41,,0
34,21970,77459,0027000403,"JAN 16, 1971",ATL vs. LAL,W,32,8,12.0,,,,,4,4,1.0,,,3.0,5.0,,,,1.0,20,,0
35,21970,77459,0027000395,"JAN 15, 1971",ATL @ BOS,L,41,13,24.0,,,,,9,9,1.0,,,6.0,6.0,,,,2.0,35,,0
36,21970,77459,0027000387,"JAN 10, 1971",ATL vs. PHX,L,40,8,18.0,,,,,11,11,1.0,,,3.0,5.0,,,,4.0,27,,0
37,21970,77459,0027000371,"JAN 08, 1971",ATL @ BLT,L,35,7,20.0,,,,,0,0,0.0,,,2.0,2.0,,,,2.0,14,,0
38,21970,77459,0027000369,"JAN 07, 1971",ATL vs. BLT,L,42,8,15.0,,,,,7,10,0.7,,,3.0,7.0,,,,3.0,23,,0
39,21970,77459,0027000359,"JAN 05, 1971",ATL vs. DET,L,0,7,8.0,,,,,5,6,0.833,,,,,,,,,19,,0
40,21970,77459,0027000352,"JAN 03, 1971",ATL vs. BOS,L,29,8,16.0,,,,,6,8,0.75,,,2.0,5.0,,,,5.0,22,,0
41,21970,77459,0027000345,"JAN 02, 1971",ATL @ NYK,W,41,9,24.0,,,,,1,1,1.0,,,5.0,6.0,,,,1.0,19,,0
42,21970,77459,0027000340,"DEC 31, 1970",ATL vs. CLE,W,35,12,19.0,,,,,8,9,0.889,,,6.0,2.0,,,,1.0,32,,0
43,21970,77459,0027000328,"DEC 29, 1970",ATL @ DET,L,39,7,15.0,,,,,4,5,0.8,,,1.0,4.0,,,,3.0,18,,0
44,21970,77459,0027000326,"DEC 28, 1970",ATL vs. SFW,L,44,14,28.0,,,,,1,2,0.5,,,5.0,3.0,,,,1.0,29,,0
45,21970,77459,0027000316,"DEC 26, 1970",ATL vs. CIN,L,41,11,24.0,,,,,0,2,0.0,,,4.0,6.0,,,,3.0,22,,0
46,21970,77459,0027000314,"DEC 25, 1970",ATL @ PHX,L,42,11,25.0,,,,,6,8,0.75,,,9.0,6.0,,,,4.0,28,,0
47,21970,77459,0027000745,"DEC 23, 1970",ATL @ SDR,L,28,3,13.0,,,,,3,4,0.75,,,5.0,4.0,,,,2.0,9,,0
48,21970,77459,0027000301,"DEC 22, 1970",ATL @ LAL,W,45,11,22.0,,,,,5,7,0.714,,,6.0,1.0,,,,3.0,27,,0
49,21970,77459,0027000289,"DEC 19, 1970",ATL vs. LAL,L,40,7,20.0,,,,,5,7,0.714,,,1.0,5.0,,,,4.0,19,,0
50,21970,77459,0027000284,"DEC 18, 1970",ATL @ BLT,W,0,10,31.0,,,,,8,9,0.889,,,6.0,3.0,,,,3.0,28,,0
51,21970,77459,0027000739,"DEC 16, 1970",ATL vs. SDR,W,43,8,24.0,,,,,11,14,0.786,,,4.0,8.0,,,,6.0,27,,0
52,21970,77459,0027000265,"DEC 13, 1970",ATL vs. BUF,W,25,9,16.0,,,,,4,5,0.8,,,0.0,1.0,,,,5.0,22,,0
