,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,21965,600013,0026500357,"MAR 20, 1966",SFW @ LAL,L,44,13,29.0,,,,,5,6,0.833,,,8.0,6.0,,,,3.0,31,,0
1,21965,600013,0026500353,"MAR 19, 1966",SFW vs. LAL,W,44,13,27.0,,,,,17,22,0.773,,,16.0,6.0,,,,4.0,43,,0
2,21965,600013,0026500347,"MAR 17, 1966",SFW vs. STL,W,45,11,25.0,,,,,17,19,0.895,,,17.0,5.0,,,,2.0,39,,0
3,21965,600013,0026500343,"MAR 15, 1966",SFW vs. STL,L,45,17,27.0,,,,,7,7,1.0,,,10.0,4.0,,,,3.0,41,,0
4,21965,600013,0026500339,"MAR 13, 1966",SFW vs. DET,W,40,7,21.0,,,,,4,4,1.0,,,7.0,4.0,,,,2.0,18,,0
5,21965,600013,0026500333,"MAR 09, 1966",SFW vs. BLT,W,27,10,16.0,,,,,6,8,0.75,,,8.0,2.0,,,,5.0,26,,0
6,21965,600013,0026500329,"MAR 08, 1966",SFW @ BLT,L,43,9,30.0,,,,,7,9,0.778,,,10.0,2.0,,,,3.0,25,,0
7,21965,600013,0026500321,"MAR 05, 1966",SFW vs. LAL,L,41,9,21.0,,,,,11,13,0.846,,,12.0,3.0,,,,5.0,29,,0
8,21965,600013,0026500315,"MAR 03, 1966",SFW @ PHL,L,45,6,22.0,,,,,8,11,0.727,,,11.0,2.0,,,,4.0,20,,0
9,21965,600013,0026500312,"MAR 02, 1966",SFW @ DET,L,37,9,21.0,,,,,3,4,0.75,,,6.0,0.0,,,,4.0,21,,0
10,21965,600013,0026500308,"MAR 01, 1966",SFW @ NYK,W,38,8,17.0,,,,,11,12,0.917,,,10.0,5.0,,,,4.0,27,,0
11,21965,600013,0026500302,"FEB 26, 1966",SFW vs. CIN,L,40,10,27.0,,,,,11,12,0.917,,,14.0,3.0,,,,5.0,31,,0
12,21965,600013,0026500300,"FEB 25, 1966",SFW vs. CIN,W,46,14,29.0,,,,,14,15,0.933,,,11.0,5.0,,,,4.0,42,,0
13,21965,600013,0026500294,"FEB 22, 1966",SFW vs. BOS,L,46,12,27.0,,,,,8,10,0.8,,,19.0,2.0,,,,5.0,32,,0
14,21965,600013,0026500285,"FEB 19, 1966",SFW vs. PHL,L,46,13,28.0,,,,,14,15,0.933,,,13.0,5.0,,,,5.0,40,,0
15,21965,600013,0026500284,"FEB 18, 1966",SFW vs. BOS,W,32,16,32.0,,,,,1,3,0.333,,,13.0,4.0,,,,5.0,33,,0
16,21965,600013,0026500280,"FEB 16, 1966",SFW vs. NYK,L,46,8,23.0,,,,,5,5,1.0,,,19.0,1.0,,,,5.0,21,,0
17,21965,600013,0026500274,"FEB 14, 1966",SFW vs. NYK,L,48,10,24.0,,,,,4,5,0.8,,,8.0,1.0,,,,2.0,24,,0
18,21965,600013,0026500268,"FEB 12, 1966",SFW @ BLT,L,40,11,24.0,,,,,12,13,0.923,,,12.0,3.0,,,,6.0,34,,0
19,21965,600013,0026500266,"FEB 11, 1966",SFW @ BOS,L,44,10,22.0,,,,,11,14,0.786,,,11.0,3.0,,,,3.0,31,,0
20,21965,600013,0026500264,"FEB 10, 1966",SFW vs. BOS,W,44,11,26.0,,,,,14,17,0.824,,,9.0,2.0,,,,1.0,36,,0
21,21965,600013,0026500260,"FEB 08, 1966",SFW vs. DET,W,47,13,32.0,,,,,10,12,0.833,,,11.0,4.0,,,,2.0,36,,0
22,21965,600013,0026500256,"FEB 07, 1966",SFW @ BOS,L,40,7,16.0,,,,,17,17,1.0,,,14.0,1.0,,,,4.0,31,,0
23,21965,600013,0026500251,"FEB 06, 1966",SFW @ CIN,L,46,14,32.0,,,,,15,17,0.882,,,14.0,3.0,,,,4.0,43,,0
24,21965,600013,0026500239,"FEB 01, 1966",SFW vs. CIN,W,42,12,27.0,,,,,13,14,0.929,,,12.0,3.0,,,,5.0,37,,0
25,21965,600013,0026500238,"JAN 31, 1966",SFW vs. BLT,W,42,8,23.0,,,,,13,14,0.929,,,9.0,2.0,,,,3.0,29,,0
26,21965,600013,0026500233,"JAN 29, 1966",SFW vs. BLT,W,42,16,29.0,,,,,6,7,0.857,,,8.0,1.0,,,,2.0,38,,0
27,21965,600013,0026500229,"JAN 28, 1966",SFW @ STL,W,44,12,24.0,,,,,14,15,0.933,,,12.0,0.0,,,,3.0,38,,0
28,21965,600013,0026500225,"JAN 26, 1966",SFW @ NYK,L,41,8,20.0,,,,,9,10,0.9,,,13.0,1.0,,,,3.0,25,,0
29,21965,600013,0026500220,"JAN 25, 1966",SFW @ STL,L,29,5,12.0,,,,,6,6,1.0,,,6.0,1.0,,,,4.0,16,,0
30,21965,600013,0026500218,"JAN 24, 1966",SFW @ CIN,L,34,13,26.0,,,,,5,5,1.0,,,7.0,0.0,,,,1.0,31,,0
31,21965,600013,0026500211,"JAN 21, 1966",SFW @ LAL,W,45,11,24.0,,,,,9,10,0.9,,,11.0,6.0,,,,3.0,31,,0
32,21965,600013,0026500195,"JAN 14, 1966",SFW vs. LAL,L,41,9,22.0,,,,,8,10,0.8,,,12.0,3.0,,,,5.0,26,,0
33,21965,600013,0026500190,"JAN 12, 1966",SFW vs. NYK,W,35,5,15.0,,,,,7,7,1.0,,,12.0,1.0,,,,3.0,17,,0
34,21965,600013,0026500186,"JAN 08, 1966",SFW vs. BOS,L,22,5,14.0,,,,,2,4,0.5,,,9.0,1.0,,,,2.0,12,,0
35,21965,600013,0026500181,"JAN 07, 1966",SFW vs. BOS,L,39,9,23.0,,,,,8,9,0.889,,,14.0,5.0,,,,5.0,26,,0
36,21965,600013,0026500174,"JAN 05, 1966",SFW vs. NYK,W,40,15,22.0,,,,,7,7,1.0,,,8.0,1.0,,,,5.0,37,,0
37,21965,600013,0026500173,"JAN 04, 1966",SFW vs. BLT,W,43,11,29.0,,,,,7,9,0.778,,,15.0,4.0,,,,4.0,29,,0
38,21965,600013,0026500169,"JAN 02, 1966",SFW vs. DET,W,43,17,26.0,,,,,9,10,0.9,,,13.0,2.0,,,,4.0,43,,0
39,21965,600013,0026500162,"DEC 30, 1965",SFW @ BOS,L,42,8,23.0,,,,,3,3,1.0,,,10.0,3.0,,,,5.0,19,,0
40,21965,600013,0026500158,"DEC 29, 1965",SFW @ BLT,L,32,7,19.0,,,,,5,7,0.714,,,11.0,1.0,,,,5.0,19,,0
41,21965,600013,0026500154,"DEC 28, 1965",SFW vs. DET,W,39,11,24.0,,,,,7,8,0.875,,,9.0,0.0,,,,3.0,29,,0
42,21965,600013,0026500150,"DEC 26, 1965",SFW @ PHL,L,24,5,13.0,,,,,0,0,0.0,,,7.0,0.0,,,,4.0,10,,0
43,21965,600013,0026500145,"DEC 25, 1965",SFW @ CIN,L,40,8,21.0,,,,,6,7,0.857,,,5.0,2.0,,,,3.0,22,,0
44,21965,600013,0026500143,"DEC 22, 1965",SFW vs. DET,W,35,9,17.0,,,,,3,3,1.0,,,10.0,3.0,,,,4.0,21,,0
45,21965,600013,0026500140,"DEC 20, 1965",SFW vs. PHL,W,44,14,31.0,,,,,9,11,0.818,,,25.0,3.0,,,,2.0,37,,0
46,21965,600013,0026500139,"DEC 19, 1965",SFW @ LAL,L,37,9,26.0,,,,,5,7,0.714,,,6.0,2.0,,,,3.0,23,,0
47,21965,600013,0026500136,"DEC 18, 1965",SFW vs. PHL,L,40,7,20.0,,,,,3,4,0.75,,,15.0,2.0,,,,6.0,17,,0
48,21965,600013,0026500135,"DEC 17, 1965",SFW vs. STL,L,37,10,17.0,,,,,3,3,1.0,,,7.0,3.0,,,,3.0,23,,0
49,21965,600013,0026500129,"DEC 15, 1965",SFW vs. STL,W,41,9,19.0,,,,,3,3,1.0,,,10.0,2.0,,,,3.0,21,,0
50,21965,600013,0026500126,"DEC 14, 1965",SFW @ NYK,L,44,18,29.0,,,,,21,22,0.955,,,15.0,3.0,,,,5.0,57,,0
51,21965,600013,0026500124,"DEC 11, 1965",SFW @ BOS,L,24,6,16.0,,,,,7,9,0.778,,,5.0,2.0,,,,3.0,19,,0
52,21965,600013,0026500117,"DEC 10, 1965",SFW @ BLT,L,36,8,22.0,,,,,8,12,0.667,,,11.0,5.0,,,,1.0,24,,0
53,21965,600013,0026500116,"DEC 09, 1965",SFW @ CIN,W,36,11,21.0,,,,,4,7,0.571,,,10.0,2.0,,,,3.0,26,,0
54,21965,600013,0026500113,"DEC 08, 1965",SFW @ DET,L,29,11,24.0,,,,,4,5,0.8,,,11.0,2.0,,,,4.0,26,,0
55,21965,600013,0026500108,"DEC 05, 1965",SFW @ STL,L,37,11,19.0,,,,,8,9,0.889,,,11.0,0.0,,,,3.0,30,,0
56,21965,600013,0026500102,"DEC 02, 1965",SFW vs. CIN,W,36,7,17.0,,,,,5,5,1.0,,,6.0,4.0,,,,4.0,19,,0
57,21965,600013,0026500091,"NOV 27, 1965",SFW vs. PHL,L,27,2,9.0,,,,,6,8,0.75,,,7.0,1.0,,,,5.0,10,,0
58,21965,600013,0026500086,"NOV 26, 1965",SFW vs. PHL,L,29,6,16.0,,,,,4,5,0.8,,,10.0,1.0,,,,5.0,16,,0
59,21965,600013,0026500085,"NOV 25, 1965",SFW @ STL,L,34,6,13.0,,,,,6,7,0.857,,,3.0,1.0,,,,3.0,18,,0
