,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,21976,305,0027600862,"APR 09, 1977",GOS vs. KCK,W,29,12,18,,,,,6,6,1.0,8.0,7.0,15,1.0,2.0,1.0,,3.0,30,,0
1,21976,305,0027600850,"APR 07, 1977",GOS vs. NYN,W,46,6,15,,,,,1,1,1.0,6.0,15.0,21,6.0,3.0,6.0,,2.0,13,,0
2,21976,305,0027600838,"APR 05, 1977",GOS vs. LAL,W,30,9,18,,,,,3,4,0.75,7.0,6.0,13,2.0,2.0,2.0,,4.0,21,,0
3,21976,305,0027600822,"APR 02, 1977",GOS vs. SEA,L,27,12,14,,,,,0,0,0.0,3.0,6.0,9,1.0,1.0,0.0,,6.0,24,,0
4,21976,305,0027600818,"APR 01, 1977",GOS @ POR,L,24,2,7,,,,,5,7,0.714,2.0,8.0,10,0.0,1.0,2.0,,6.0,9,,0
5,21976,305,0027600810,"MAR 31, 1977",GOS vs. SAN,W,11,2,5,,,,,0,0,0.0,2.0,4.0,6,0.0,1.0,0.0,,4.0,4,,0
6,21976,305,0027600801,"MAR 29, 1977",GOS vs. HOU,W,17,5,6,,,,,1,5,0.2,3.0,3.0,6,0.0,1.0,1.0,,6.0,11,,0
7,21976,305,0027600789,"MAR 27, 1977",GOS @ DEN,L,19,3,4,,,,,0,0,0.0,0.0,3.0,3,1.0,2.0,2.0,,6.0,6,,0
8,21976,305,0027600778,"MAR 25, 1977",GOS @ DET,L,22,1,5,,,,,0,0,0.0,1.0,4.0,5,0.0,1.0,2.0,,0.0,2,,0
9,21976,305,0027600762,"MAR 23, 1977",GOS @ PHL,W,18,4,7,,,,,3,3,1.0,1.0,6.0,7,1.0,0.0,0.0,,4.0,11,,0
10,21976,305,0027600755,"MAR 22, 1977",GOS @ KCK,L,17,4,4,,,,,2,2,1.0,2.0,6.0,8,2.0,1.0,2.0,,4.0,10,,0
11,21976,305,0027600746,"MAR 19, 1977",GOS vs. IND,W,29,6,11,,,,,0,0,0.0,5.0,10.0,15,2.0,0.0,2.0,,5.0,12,,0
12,21976,305,0027600742,"MAR 18, 1977",GOS @ LAL,L,30,11,15,,,,,1,1,1.0,7.0,11.0,18,1.0,0.0,2.0,,5.0,23,,0
13,21976,305,0027600732,"MAR 17, 1977",GOS vs. POR,L,18,0,4,,,,,0,0,0.0,2.0,6.0,8,0.0,0.0,0.0,,3.0,0,,0
14,21976,305,0027600710,"MAR 13, 1977",GOS vs. WAS,W,7,0,3,,,,,0,0,0.0,0.0,0.0,0,2.0,0.0,0.0,,0.0,0,,0
15,21976,305,0027600690,"MAR 08, 1977",GOS vs. CLE,W,20,5,8,,,,,1,2,0.5,3.0,3.0,6,1.0,0.0,1.0,,2.0,11,,0
16,21976,305,0027600685,"MAR 06, 1977",GOS vs. CHI,L,17,2,4,,,,,1,1,1.0,1.0,6.0,7,2.0,0.0,1.0,,5.0,5,,0
17,21976,305,0027600670,"MAR 04, 1977",GOS @ PHX,W,11,1,3,,,,,3,6,0.5,2.0,2.0,4,0.0,0.0,0.0,,5.0,5,,0
18,21976,305,0027600663,"MAR 03, 1977",GOS vs. PHL,W,23,2,4,,,,,0,0,0.0,6.0,4.0,10,1.0,1.0,2.0,,5.0,4,,0
19,21976,305,0027600652,"MAR 01, 1977",GOS @ BOS,W,19,2,7,,,,,0,0,0.0,2.0,5.0,7,2.0,0.0,1.0,,3.0,4,,0
20,21976,305,0027600646,"FEB 27, 1977",GOS @ NYN,W,27,5,12,,,,,3,5,0.6,10.0,2.0,12,1.0,1.0,2.0,,5.0,13,,0
21,21976,305,0027600634,"FEB 25, 1977",GOS @ BUF,W,25,3,6,,,,,0,0,0.0,1.0,4.0,5,2.0,0.0,3.0,,5.0,6,,0
22,21976,305,0027603025,"FEB 24, 1977",GOS @ CLE,L,4,1,3,,,,,0,0,0.0,1.0,1.0,2,0.0,0.0,0.0,,1.0,2,,0
23,21976,305,0027600620,"FEB 22, 1977",GOS @ CHI,L,32,5,8,,,,,1,6,0.25,2.0,4.0,6,3.0,1.0,3.0,,4.0,11,,0
24,21976,305,0027600608,"FEB 20, 1977",GOS vs. BOS,L,17,1,7,,,,,2,2,1.0,2.0,3.0,5,0.0,0.0,2.0,,3.0,4,,0
