,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,21957,77196,0025700287,"MAR 12, 1958",BOS vs. NYK,L,7,2,3.0,,,,,0,0,,,,2.0,,,,,0.0,4,,0
1,21957,77196,0025700280,"MAR 09, 1958",BOS vs. CIN,L,14,3,5.0,,,,,2,2,,,,2.0,,,,,1.0,8,,0
2,21957,77196,0025700279,"MAR 08, 1958",BOS vs. DET,W,10,0,5.0,,,,,1,1,,,,1.0,,,,,0.0,1,,0
3,21957,77196,0025700273,"MAR 05, 1958",BOS vs. STL,W,6,0,2.0,,,,,0,0,,,,0.0,,,,,0.0,0,,0
4,21957,77196,0025700271,"MAR 04, 1958",BOS @ NYK,L,0,4,,,,,,2,2,,,,,,,,,4.0,10,,0
5,21957,77196,0025700268,"MAR 02, 1958",BOS @ SYR,W,24,3,8.0,,,,,4,4,,,,7.0,0.0,,,,1.0,10,,0
6,21957,77196,0025700261,"FEB 26, 1958",BOS @ DET,W,0,6,,,,,,0,0,,,,,,,,,2.0,12,,0
7,21957,77196,0025700254,"FEB 23, 1958",BOS vs. PHW,W,0,2,5.0,,,,,1,2,0.5,,,4.0,1.0,,,,1.0,5,,0
8,21957,77196,0025700250,"FEB 21, 1958",BOS @ STL,L,0,3,9.0,0.333,,,,1,1,1.0,,,,,,,,1.0,7,,0
9,21957,77196,0025700245,"FEB 19, 1958",BOS @ PHW,L,17,3,9.0,,,,,5,7,0.714,,,6.0,2.0,,,,3.0,11,,0
10,21957,77196,0025700228,"FEB 12, 1958",BOS vs. SYR,W,2,0,2.0,,,,,0,0,,,,2.0,,,,,0.0,0,,0
11,21957,77196,0025700226,"FEB 11, 1958",BOS @ SYR,L,0,1,3.0,,,,,1,1,,,,2.0,1.0,,,,0.0,3,,0
12,21957,77196,0025700222,"FEB 09, 1958",BOS @ SYR,L,27,2,10.0,,,,,3,4,0.75,,,5.0,2.0,,,,2.0,7,,0
13,21957,77196,0025700218,"FEB 08, 1958",BOS vs. CIN,W,0,0,,,,,,1,1,,,,,,,,,0.0,1,,0
14,21957,77196,0025700215,"FEB 07, 1958",BOS vs. MNL,W,28,2,10.0,,,,,2,3,0.667,,,0.0,,,,,0.0,6,,0
15,21957,77196,0025700211,"FEB 05, 1958",BOS vs. CIN,W,18,6,11.0,,,,,1,1,,,,7.0,,,,,1.0,13,,0
16,21957,77196,0025700209,"FEB 04, 1958",BOS vs. CIN,W,0,2,,,,,,1,1,,,,,,,,,1.0,5,,0
17,21957,77196,0025700203,"FEB 02, 1958",BOS vs. DET,W,3,1,2.0,,,,,0,0,,,,0.0,,,,,1.0,2,,0
18,21957,77196,0025700196,"JAN 31, 1958",BOS vs. PHW,L,8,1,2.0,,,,,0,0,,,,2.0,0.0,,,,3.0,2,,0
19,21957,77196,0025700193,"JAN 30, 1958",BOS @ PHW,L,0,5,10.0,,,,,0,1,0.0,,,7.0,1.0,,,,1.0,10,,0
20,21957,77196,0025700186,"JAN 26, 1958",BOS vs. SYR,W,4,1,2.0,,,,,2,2,,,,3.0,,,,,0.0,4,,0
21,21957,77196,0025700181,"JAN 25, 1958",BOS @ SYR,L,0,1,,,,,,3,3,,,,,,,,,0.0,5,,0
22,21957,77196,0025700178,"JAN 24, 1958",BOS vs. NYK,W,17,4,10.0,,,,,0,0,,,,3.0,,,,,0.0,8,,0
23,21957,77196,0025700175,"JAN 22, 1958",BOS @ MNL,W,0,0,,,,,,1,2,0.5,,,,,,,,0.0,1,,0
24,21957,77196,0025700169,"JAN 19, 1958",BOS vs. PHW,W,4,0,0.0,,,,,1,1,,,,2.0,0.0,,,,0.0,1,,0
25,21957,77196,0025700167,"JAN 18, 1958",BOS @ PHW,L,0,2,2.0,,,,,1,2,0.5,,,0.0,0.0,,,,0.0,5,,0
26,21957,77196,0025700164,"JAN 17, 1958",BOS vs. SYR,W,7,1,1.0,,,,,0,0,,,,3.0,,,,,0.0,2,,0
27,21957,77196,0025700158,"JAN 15, 1958",BOS vs. DET,W,6,1,1.0,,,,,0,0,,,,4.0,,,,,1.0,2,,0
28,21957,77196,0025700155,"JAN 12, 1958",BOS @ CIN,L,0,6,,,,,,0,0,,,,,,,,,1.0,12,,0
29,21957,77196,0025700151,"JAN 11, 1958",BOS @ STL,L,0,2,2.0,,,,,0,0,,,,,,,,,1.0,4,,0
30,21957,77196,0025700144,"JAN 09, 1958",BOS @ NYK,L,0,1,,,,,,0,3,0.0,,,,,,,,2.0,2,,0
31,21957,77196,0025700143,"JAN 08, 1958",BOS @ MNL,W,0,3,,,,,,2,2,,,,,,,,,0.0,8,,0
32,21957,77196,0025700136,"JAN 05, 1958",BOS vs. MNL,W,0,1,,,,,,0,0,,,,,,,,,0.0,2,,0
33,21957,77196,0025700118,"DEC 27, 1957",BOS @ PHW,L,0,0,0.0,,,,,1,2,,,,0.0,0.0,,,,0.0,1,,0
34,21957,77196,0025700114,"DEC 26, 1957",BOS vs. NYK,W,3,1,2.0,,,,,0,0,,,,1.0,,,,,2.0,2,,0
35,21957,77196,0025700112,"DEC 25, 1957",BOS @ PHW,L,0,1,2.0,,,,,0,0,,,,3.0,1.0,,,,1.0,2,,0
36,21957,77196,0025700109,"DEC 22, 1957",BOS @ CIN,W,0,0,,,,,,0,2,0.0,,,,,,,,0.0,0,,0
37,21957,77196,0025700105,"DEC 21, 1957",BOS vs. MNL,W,14,3,6.0,,,,,3,3,,,,4.0,,,,,0.0,9,,0
38,21957,77196,0025700096,"DEC 14, 1957",BOS vs. PHW,W,11,2,4.0,,,,,1,3,0.333,,,3.0,0.0,,,,0.0,5,,0
39,21957,77196,0025700093,"DEC 12, 1957",BOS @ STL,L,0,0,0.0,,,,,0,0,,,,0.0,0.0,,,,0.0,0,,0
40,21957,77196,0025700090,"DEC 11, 1957",BOS vs. CIN,W,21,2,8.0,,,,,2,5,0.4,,,6.0,,,,,2.0,6,,0
41,21957,77196,0025700081,"DEC 07, 1957",BOS @ PHW,W,0,0,1.0,,,,,0,0,,,,0.0,0.0,,,,0.0,0,,0
42,21957,77196,0025700077,"DEC 06, 1957",BOS vs. STL,W,0,1,2.0,,,,,0,0,,,,,,,,,0.0,2,,0
43,21957,77196,0025700074,"DEC 04, 1957",BOS @ MNL,W,0,4,,,,,,4,4,1.0,,,,,,,,1.0,12,,0
44,21957,77196,0025700070,"DEC 03, 1957",BOS @ DET,W,0,0,,,,,,0,2,0.0,,,,,,,,0.0,0,,0
45,21957,77196,0025700067,"DEC 01, 1957",BOS @ SYR,L,31,4,6.0,,,,,7,8,0.875,,,5.0,1.0,,,,5.0,15,,0
46,21957,77196,0025700061,"NOV 28, 1957",BOS @ NYK,L,0,0,,,,,,0,0,,,,,,,,,0.0,0,,0
47,21957,77196,0025700056,"NOV 27, 1957",BOS vs. NYK,W,1,0,0.0,,,,,1,1,,,,0.0,,,,,1.0,1,,0
48,21957,77196,0025700051,"NOV 23, 1957",BOS vs. MNL,W,22,4,12.0,,,,,0,1,0.0,,,4.0,,,,,2.0,8,,0
49,21957,77196,0025700047,"NOV 21, 1957",BOS @ DET,W,0,4,,,,,,3,5,0.6,,,,,,,,0.0,11,,0
50,21957,77196,0025700038,"NOV 16, 1957",BOS vs. PHW,W,9,2,5.0,,,,,0,1,0.0,,,1.0,0.0,,,,0.0,4,,0
51,21957,77196,0025700030,"NOV 12, 1957",BOS vs. MNL,W,0,0,,,,,,0,0,,,,,,,,,0.0,0,,0
52,21957,77196,0025700023,"NOV 08, 1957",BOS @ CIN,W,0,0,,,,,,0,0,0.0,,,,,,,,0.0,0,,0
53,21957,77196,0025700017,"NOV 03, 1957",BOS @ SYR,W,0,1,,,,,,0,0,,,,,,,,,0.0,2,,0
54,21957,77196,0025700015,"NOV 02, 1957",BOS vs. SYR,W,0,1,,,,,,3,3,,,,,,,,,1.0,5,,0
55,21957,77196,0025700001,"OCT 22, 1957",BOS @ STL,W,3,0,0.0,0.0,,,,0,0,0.0,,,1.0,,,,,1.0,0,,0
0,21958,77196,0025800285,"MAR 10, 1959",BOS vs. NYK,L,24,7,11.0,,,,,1,2,0.5,,,4.0,,,,,3.0,15,,0
1,21958,77196,0025800281,"MAR 08, 1959",BOS vs. CIN,W,16,5,11.0,,,,,2,2,1.0,,,6.0,,,,,1.0,12,,0
2,21958,77196,0025800274,"MAR 05, 1959",BOS @ SYR,L,0,8,,,,,,5,6,0.833,,,,,,,,0.0,21,,0
3,21958,77196,0025800272,"MAR 04, 1959",BOS vs. SYR,W,15,1,6.0,,,,,1,1,1.0,,,7.0,,,,,0.0,3,,0
4,21958,77196,0025800267,"MAR 03, 1959",BOS vs. MNL,W,8,3,8.0,,,,,0,0,0.0,,,3.0,,,,,1.0,6,,0
5,21958,77196,0025800263,"MAR 01, 1959",BOS @ STL,L,0,3,8.0,0.375,,,,0,1,0.0,,,9.0,,,,,1.0,6,,0
6,21958,77196,0025800258,"FEB 27, 1959",BOS vs. MNL,W,12,4,15.0,,,,,0,0,0.0,,,9.0,2.0,,,,1.0,8,,0
7,21958,77196,0025800256,"FEB 26, 1959",BOS vs. PHW,W,0,5,9.0,,,,,0,0,0.0,,,5.0,2.0,,,,2.0,10,,0
8,21958,77196,0025800250,"FEB 24, 1959",BOS @ NYK,L,0,1,,,,,,3,4,0.75,,,,,,,,2.0,5,,0
9,21958,77196,0025800246,"FEB 22, 1959",BOS @ CIN,W,0,4,,,,,,5,5,1.0,,,,,,,,1.0,13,,0
10,21958,77196,0025800241,"FEB 20, 1959",BOS @ DET,W,0,1,,,,,,7,9,0.778,,,,,,,,3.0,9,,0
11,21958,77196,0025800240,"FEB 19, 1959",BOS @ SYR,L,34,4,12.0,,,,,3,3,1.0,,,10.0,4.0,,,,3.0,11,,0
12,21958,77196,0025800237,"FEB 17, 1959",BOS vs. PHW,W,0,5,14.0,,,,,6,7,0.857,,,12.0,3.0,,,,0.0,16,,0
13,21958,77196,0025800234,"FEB 15, 1959",BOS vs. DET,W,35,7,14.0,,,,,2,3,0.667,,,5.0,,,,,1.0,16,,0
14,21958,77196,0025800228,"FEB 14, 1959",BOS vs. SYR,W,28,10,22.0,,,,,2,2,,,,11.0,,,,,3.0,22,,0
15,21958,77196,0025800222,"FEB 11, 1959",BOS vs. PHW,W,27,4,13.0,,,,,1,1,1.0,,,14.0,2.0,,,,0.0,9,,0
16,21958,77196,0025800218,"FEB 09, 1959",BOS @ PHW,L,0,5,14.0,,,,,4,4,,,,12.0,4.0,,,,3.0,14,,0
17,21958,77196,0025800213,"FEB 08, 1959",BOS vs. CIN,W,25,3,10.0,,,,,2,2,,,,4.0,,,,,2.0,8,,0
18,21958,77196,0025800211,"FEB 07, 1959",BOS @ NYK,W,0,7,,,,,,3,3,,,,,,,,,2.0,17,,0
19,21958,77196,0025800210,"FEB 06, 1959",BOS vs. STL,W,40,8,15.0,,,,,7,9,0.778,,,8.0,6.0,,,,3.0,23,,0
20,21958,77196,0025800204,"FEB 04, 1959",BOS vs. NYK,L,23,8,15.0,,,,,0,0,,,,8.0,,,,,3.0,16,,0
21,21958,77196,0025800203,"FEB 03, 1959",BOS vs. STL,W,27,6,17.0,,,,,1,2,0.5,,,14.0,,,,,1.0,13,,0
22,21958,77196,0025800198,"FEB 01, 1959",BOS vs. SYR,W,19,3,10.0,,,,,6,7,,,,4.0,,,,,2.0,12,,0
23,21958,77196,0025800195,"JAN 31, 1959",BOS vs. PHW,W,32,10,19.0,,,,,4,6,,,,12.0,2.0,,,,5.0,24,,0
24,21958,77196,0025800188,"JAN 28, 1959",BOS vs. STL,W,20,6,9.0,,,,,1,2,0.5,,,5.0,,,,,2.0,13,,0
25,21958,77196,0025800180,"JAN 25, 1959",BOS vs. DET,W,22,5,11.0,,,,,2,2,,,,4.0,,,,,5.0,12,,0
