,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,21989,431,0028901102,"APR 22, 1990",SEA @ GOS,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,1,0,0,,0
1,21989,431,0028901091,"APR 20, 1990",SEA vs. LAC,W,13,2,5,0.4,0,2,0.0,2,2,1.0,0,2,2,0,0,0,1,2,6,,0
2,21989,431,0028901078,"APR 19, 1990",SEA @ SAC,W,9,2,5,0.4,0,0,0.0,0,0,0.0,0,2,2,0,1,1,1,4,4,,0
3,21989,431,0028901064,"APR 17, 1990",SEA vs. LAL,L,8,2,2,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,2,4,,0
4,21989,431,0028901048,"APR 14, 1990",SEA vs. PHX,W,6,2,2,1.0,0,0,0.0,0,0,0.0,1,0,1,0,0,1,0,2,4,,0
5,21989,431,0028901032,"APR 12, 1990",SEA vs. DEN,W,8,2,3,0.667,0,0,0.0,1,2,0.5,0,2,2,1,0,1,2,5,5,,0
6,21989,431,0028901022,"APR 10, 1990",SEA @ UTH,L,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,,0
7,21989,431,0028901011,"APR 09, 1990",SEA vs. SAC,L,7,2,5,0.4,0,0,0.0,0,1,0.0,3,1,4,0,0,0,0,1,4,,0
8,21989,431,0028900997,"APR 06, 1990",SEA @ DEN,L,16,4,5,0.8,0,0,0.0,0,0,0.0,1,5,6,1,0,0,3,6,8,,0
9,21989,431,0028900984,"APR 05, 1990",SEA vs. UTH,W,16,1,3,0.333,0,1,0.0,0,0,0.0,0,4,4,0,0,2,3,2,2,,0
10,21989,431,0028900976,"APR 03, 1990",SEA vs. POR,W,13,2,6,0.333,0,0,0.0,2,2,1.0,3,5,8,0,0,0,1,4,6,,0
11,21989,431,0028900964,"APR 01, 1990",SEA @ LAC,L,10,1,3,0.333,0,0,0.0,0,0,0.0,1,0,1,0,0,0,1,2,2,,0
12,21989,431,0028900945,"MAR 30, 1990",SEA vs. GOS,W,21,6,12,0.5,0,0,0.0,3,3,1.0,4,2,6,0,1,0,4,5,15,,0
13,21989,431,0028900926,"MAR 27, 1990",SEA @ SAN,L,25,4,8,0.5,0,0,0.0,6,8,0.75,2,4,6,2,3,3,4,4,14,,0
14,21989,431,0028900917,"MAR 25, 1990",SEA @ LAL,L,27,8,15,0.533,1,1,1.0,2,2,1.0,3,3,6,0,2,0,2,4,19,,0
15,21989,431,0028900906,"MAR 24, 1990",SEA @ PHX,L,23,6,11,0.545,0,0,0.0,4,4,1.0,3,5,8,3,3,1,2,5,16,,0
