,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,21967,76750,0026700493,"MAR 20, 1968",NYK vs. CIN,W,31,5,11.0,,,,,2,2,1.0,,,3.0,6.0,,,,3.0,12,,0
1,21967,76750,0026700485,"MAR 18, 1968",NYK @ SFW,W,20,4,10.0,,,,,3,5,0.6,,,2.0,1.0,,,,1.0,11,,0
2,21967,76750,0026700483,"MAR 17, 1968",NYK @ SFW,W,26,5,10.0,,,,,5,7,0.714,,,9.0,6.0,,,,2.0,15,,0
3,21967,76750,0026700474,"MAR 15, 1968",NYK @ LAL,L,26,3,10.0,,,,,0,0,0.0,,,3.0,2.0,,,,2.0,6,,0
4,21967,76750,0026700467,"MAR 13, 1968",NYK @ PHL,W,27,4,13.0,,,,,1,1,1.0,,,2.0,4.0,,,,4.0,9,,0
5,21967,76750,0026700465,"MAR 12, 1968",NYK vs. BLT,W,21,6,14.0,,,,,1,3,0.333,,,6.0,3.0,,,,5.0,13,,0
6,21967,76750,0026700458,"MAR 10, 1968",NYK vs. PHL,L,35,8,13.0,,,,,0,0,0.0,,,6.0,13.0,,,,2.0,16,,0
7,21967,76750,0026700443,"MAR 06, 1968",NYK @ BOS,L,23,3,9.0,,,,,1,2,0.5,,,5.0,5.0,,,,2.0,7,,0
8,21967,76750,0026700439,"MAR 05, 1968",NYK vs. BOS,L,15,2,5.0,,,,,2,3,0.667,,,3.0,4.0,,,,2.0,6,,0
9,21967,76750,0026700429,"MAR 02, 1968",NYK vs. DET,W,20,2,4.0,,,,,2,6,0.333,,,2.0,1.0,,,,4.0,6,,0
10,21967,76750,0026700422,"FEB 29, 1968",NYK @ STL,L,18,4,8.0,,,,,4,5,0.8,,,1.0,5.0,,,,6.0,12,,0
11,21967,76750,0026700418,"FEB 28, 1968",NYK @ BLT,W,27,7,13.0,,,,,4,8,0.5,,,5.0,4.0,,,,4.0,18,,0
