,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,21968,78392,0026800570,"MAR 23, 1969",BLT @ BOS,L,26,4,12.0,,,,,2,2,1.0,,,11.0,3.0,,,,1.0,10,,0
1,21968,78392,0026800563,"MAR 22, 1969",BLT vs. PHL,L,24,4,6.0,,,,,3,3,1.0,,,17.0,2.0,,,,2.0,11,,0
2,21968,78392,0026800559,"MAR 21, 1969",BLT @ CHI,W,46,4,12.0,,,,,0,1,0.0,,,22.0,3.0,,,,2.0,8,,0
3,21968,78392,0026800553,"MAR 19, 1969",BLT @ NYK,L,38,1,10.0,,,,,6,9,0.667,,,19.0,2.0,,,,4.0,8,,0
4,21968,78392,0026800546,"MAR 18, 1969",BLT vs. SEA,W,40,5,12.0,,,,,5,5,1.0,,,20.0,5.0,,,,2.0,15,,0
5,21968,78392,0026800540,"MAR 15, 1969",BLT vs. BOS,W,44,4,11.0,,,,,1,4,0.25,,,26.0,3.0,,,,1.0,9,,0
6,21968,78392,0026800534,"MAR 14, 1969",BLT @ CIN,W,44,9,17.0,,,,,8,16,0.5,,,32.0,0.0,,,,4.0,26,,0
7,21968,78392,0026800527,"MAR 12, 1969",BLT vs. NYK,W,41,8,13.0,,,,,3,3,1.0,,,20.0,4.0,,,,4.0,19,,0
8,21968,78392,0026800519,"MAR 10, 1969",BLT @ PHX,W,24,3,7.0,,,,,5,6,0.833,,,9.0,5.0,,,,5.0,11,,0
9,21968,78392,0026800515,"MAR 09, 1969",BLT @ LAL,L,0,1,9.0,,,,,2,2,1.0,,,9.0,3.0,,,,4.0,4,,0
10,21968,78392,0026800512,"MAR 08, 1969",BLT @ SEA,L,0,5,,,,,,8,14,0.571,,,19.0,2.0,,,,,18,,0
11,21968,78392,0026800507,"MAR 07, 1969",BLT @ SFW,L,32,3,6.0,,,,,1,1,1.0,,,18.0,4.0,,,,4.0,7,,0
12,21968,78392,0026800502,"MAR 05, 1969",BLT @ SFW,L,41,3,7.0,,,,,1,2,0.5,,,17.0,4.0,,,,4.0,7,,0
